[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê012.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	35
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.819	1.589	1.952	7314	566	12.926	0.912	   			0.000	204	735.816	0.000	0.000	0.000	0	0	0.000	0.000
2	2.160	1.952	2.240	25418	3940	6.452	3.169	 V 			0.188	2713	55.288	0.000	1.010	0.000	0	0	0.000	0.000
3	2.307	2.240	2.368	10851	2452	4.425	1.353	   			0.268	4758	31.529	0.000	0.980	1.430	0	0	0.000	0.000
4	2.423	2.368	2.571	6201	929	6.675	0.773	 V 			0.332	1125	133.310	0.000	0.546	1.237	0	0	0.000	0.000
5	6.389	6.240	6.635	2965	180	16.509	0.370	   			2.512	1657	90.526	0.000	8.654	7.571	0	0	0.000	0.000
6	6.805	6.635	7.157	7612	522	14.583	0.949	 V 			2.741	4255	35.250	0.000	0.795	1.091	0	0	0.000	0.000
7	7.253	7.168	7.360	1000	99	10.107	0.125	   			2.987	533	281.199	0.000	0.536	1.090	0	0	0.000	0.000
8	7.559	7.360	7.819	35109	2384	14.729	4.378	 V 			3.155	5342	28.079	0.000	0.366	1.056	0	0	0.000	0.000
9	8.029	7.819	8.533	27396	1507	18.183	3.416	 V 			3.414	3878	38.676	0.000	1.012	1.082	0	0	0.000	0.000
10	8.845	8.619	9.045	5612	374	15.024	0.700	   			3.862	6416	23.381	0.000	1.704	1.131	0	0	0.000	0.000
11	9.272	9.045	9.973	132773	8169	16.254	16.555	 V 			4.097	7593	19.754	1.812	0.985	1.061	0	0	0.000	0.000
12	11.096	10.731	11.509	120843	9589	12.602	15.067	   			5.100	17407	8.617	1.111	4.788	1.245	0	0	0.000	0.000
13	11.791	11.669	12.000	1084	110	9.847	0.135	   			5.482	28463	5.270	1.225	2.257	1.075	0	0	0.000	0.000
14	12.122	12.000	12.352	1103	105	10.470	0.138	   			5.664	25575	5.865	1.252	1.135	1.033	0	0	0.000	0.000
15	12.690	12.363	12.981	20096	1515	13.269	2.506	   			5.976	22085	6.792	0.000	1.762	1.055	0	0	0.000	0.000
16	13.134	12.981	13.365	4991	410	12.187	0.622	 V 			6.220	19596	7.655	0.000	1.239	1.041	0	0	0.000	0.000
17	13.901	13.408	14.027	12597	662	19.019	1.571	   			6.642	6608	22.701	0.000	1.448	1.068	0	0	0.000	0.000
18	14.207	14.027	14.517	23095	1874	12.324	2.880	 V 			6.810	27696	5.416	0.000	0.597	1.025	0	0	0.000	0.000
19	15.443	15.200	15.712	5031	430	11.702	0.627	   			7.489	34928	4.295	1.053	3.678	1.100	0	0	0.000	0.000
20	16.011	15.861	16.085	1526	178	8.580	0.190	   			7.802	14983	10.011	0.000	1.331	1.042	0	0	0.000	0.000
21	16.378	16.085	16.587	44978	3862	11.648	5.608	 V 			8.003	45180	3.320	0.839	0.882	1.026	0	0	0.000	0.000
22	16.780	16.587	17.077	20667	2029	10.188	2.577	 V 			8.225	55811	2.688	0.000	1.360	1.028	0	0	0.000	0.000
23	17.500	17.248	17.632	5329	454	11.732	0.664	   			8.621	38049	3.942	0.000	2.240	1.048	0	0	0.000	0.000
24	17.729	17.632	17.888	3833	339	11.310	0.478	 V 			8.747	23962	6.260	0.000	0.561	1.015	0	0	0.000	0.000
25	18.038	17.888	18.187	5435	427	12.728	0.678	 V 			8.916	28277	5.305	0.000	0.697	1.019	0	0	0.000	0.000
26	18.414	18.187	18.496	11438	957	11.946	1.426	 V 			9.123	19990	7.504	0.000	0.790	1.023	0	0	0.000	0.000
27	18.646	18.496	18.923	22499	1933	11.640	2.805	 V 			9.250	47551	3.154	0.000	0.539	1.014	0	0	0.000	0.000
28	19.353	18.955	19.989	40267	2881	13.976	5.021	   			9.639	59140	2.536	1.266	2.140	1.042	0	0	0.000	0.000
29	20.277	20.107	20.491	2479	275	9.023	0.309	   			10.147	103508	1.449	1.067	3.240	1.053	0	0	0.000	0.000
30	21.427	21.152	21.632	4431	310	14.310	0.552	   			10.779	48020	3.124	0.000	3.576	1.062	0	0	0.000	0.000
31	21.996	21.632	22.283	149521	14346	10.423	18.643	 V 			11.092	96008	1.562	0.915	1.685	1.029	0	0	0.000	0.000
32	22.461	22.283	22.645	3197	305	10.490	0.399	   			11.348	88583	1.693	1.017	1.589	1.023	0	0	0.000	0.000
33	23.005	22.720	23.307	24658	2348	10.501	3.074	   			11.647	101808	1.473	0.946	1.844	1.026	0	0	0.000	0.000
34	27.723	27.531	27.968	2535	229	11.064	0.316	   			14.240	132159	1.135	1.033	15.899	1.223	0	0	0.000	0.000
35	44.873	44.491	44.971	8143	320	25.453	1.015	   			23.668	160378	0.935	0.633	45.538	1.662	0	0	0.000	0.000

