[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê010.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	32
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.387	0.032	1.525	67829	1041	65.153	10.109	   			0.000	1	157906.209	0.000	0.000	0.000	0	0	0.000	0.000
2	1.786	1.525	1.963	27619	1188	23.240	4.116	 V 			0.288	10	15511.724	0.000	0.100	0.000	0	0	0.000	0.000
3	2.153	1.963	2.240	27621	4044	6.831	4.117	 V 			0.552	2612	57.419	0.000	0.298	1.919	0	0	0.000	0.000
4	2.300	2.240	2.357	10586	2420	4.375	1.578	   			0.659	5209	28.798	0.000	0.997	1.193	0	0	0.000	0.000
5	2.417	2.357	2.571	6540	927	7.052	0.975	 V 			0.743	990	151.587	0.000	0.536	1.128	0	0	0.000	0.000
6	6.379	6.197	6.645	3046	176	17.273	0.454	   			3.600	1732	86.621	0.000	8.609	4.847	0	0	0.000	0.000
7	6.803	6.645	7.136	6685	465	14.364	0.996	 V 			3.906	4199	35.725	0.000	0.821	1.085	0	0	0.000	0.000
8	7.545	7.339	7.797	27609	1877	14.709	4.115	 V 			4.441	5363	27.971	0.000	1.785	1.137	0	0	0.000	0.000
9	8.023	7.797	8.501	26133	1427	18.314	3.895	 V 			4.786	4013	37.383	0.000	1.040	1.078	0	0	0.000	0.000
10	8.851	8.608	9.024	4989	361	13.824	0.744	   			5.383	6875	21.818	0.000	1.773	1.125	0	0	0.000	0.000
11	9.261	9.024	9.984	114293	6856	16.671	17.034	 V 			5.679	7302	20.543	1.829	0.953	1.055	0	0	0.000	0.000
12	11.084	10.699	11.509	104725	8210	12.756	15.608	   			6.993	16987	8.830	1.104	4.713	1.232	0	0	0.000	0.000
13	12.679	12.373	12.981	17906	1364	13.123	2.669	   			8.143	22721	6.602	0.000	4.713	1.164	0	0	0.000	0.000
14	13.130	12.981	13.355	3502	286	12.246	0.522	 V 			8.469	17075	8.785	0.000	1.222	1.040	0	0	0.000	0.000
15	13.923	13.557	14.005	6838	439	15.594	1.019	   			9.041	5284	28.390	0.000	1.358	1.068	0	0	0.000	0.000
16	14.192	14.005	14.496	16475	1282	12.849	2.455	 V 			9.234	25606	5.858	0.000	0.479	1.021	0	0	0.000	0.000
17	15.436	15.221	15.701	3823	313	12.211	0.570	   			10.132	33309	4.503	1.052	3.592	1.097	0	0	0.000	0.000
18	16.011	15.861	16.085	1077	116	9.303	0.161	   			10.546	9166	16.364	0.000	1.140	1.041	0	0	0.000	0.000
19	16.364	16.085	16.576	29319	2503	11.716	4.370	 V 			10.801	43060	3.484	0.810	0.718	1.024	0	0	0.000	0.000
20	16.766	16.587	16.971	13323	1388	9.598	1.986	   			11.091	61764	2.429	1.016	1.374	1.027	0	0	0.000	0.000
21	17.493	17.291	17.632	3863	338	11.427	0.576	   			11.615	43531	3.446	0.000	2.402	1.047	0	0	0.000	0.000
22	17.728	17.632	17.877	2189	217	10.076	0.326	 V 			11.785	32072	4.677	0.000	0.643	1.015	0	0	0.000	0.000
23	18.040	17.877	18.187	3381	265	12.757	0.504	 V 			12.009	30682	4.889	0.000	0.771	1.019	0	0	0.000	0.000
24	18.401	18.187	18.496	8330	675	12.348	1.241	 V 			12.270	21817	6.875	0.000	0.794	1.022	0	0	0.000	0.000
25	18.632	18.496	18.912	12286	1072	11.459	1.831	 V 			12.436	43613	3.439	0.000	0.539	1.014	0	0	0.000	0.000
26	19.338	18.987	19.744	21653	1621	13.359	3.227	   			12.946	59226	2.533	1.059	2.095	1.041	0	0	0.000	0.000
27	20.258	20.117	20.427	1476	170	8.673	0.220	   			13.609	101014	1.485	1.101	3.209	1.051	0	0	0.000	0.000
28	21.407	21.280	21.611	1082	124	8.760	0.161	   			14.438	103500	1.449	1.155	4.413	1.061	0	0	0.000	0.000
29	21.979	21.621	22.240	72951	6876	10.609	10.873	   			14.850	92737	1.617	0.900	2.062	1.029	0	0	0.000	0.000
30	22.433	22.283	22.613	1787	173	10.350	0.266	   			15.178	87579	1.713	1.083	1.534	1.022	0	0	0.000	0.000
31	22.988	22.720	23.243	14285	1356	10.533	2.129	   			15.578	100274	1.496	0.929	1.870	1.026	0	0	0.000	0.000
32	44.857	44.491	44.960	7745	338	22.908	1.154	   			31.349	163952	0.915	0.645	59.628	2.012	0	0	0.000	0.000

