[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê004.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	42
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.312	0.032	1.589	70804	1029	68.785	3.248	   			0.000	0	331178.887	0.000	0.000	0.000	0	0	0.000	0.000
2	1.828	1.589	1.984	26484	1382	19.164	1.215	 V 			0.393	15	9942.262	0.000	0.107	0.000	0	0	0.000	0.000
3	2.172	1.984	2.251	27802	4028	6.903	1.275	 V 			0.656	2775	54.059	0.000	0.336	1.666	0	0	0.000	0.000
4	2.315	2.251	2.379	11423	2529	4.517	0.524	   			0.765	4535	33.077	0.000	0.947	1.166	0	0	0.000	0.000
5	2.431	2.379	2.581	6615	999	6.624	0.303	 V 			0.853	1278	117.416	0.000	0.564	1.115	0	0	0.000	0.000
6	5.182	4.949	5.301	8072	652	12.388	0.370	   			2.950	1440	104.181	0.000	6.724	3.459	0	0	0.000	0.000
7	5.416	5.301	5.792	12672	680	18.623	0.581	 V 			3.128	661	227.036	0.000	0.337	1.060	0	0	0.000	0.000
8	6.001	5.792	6.229	14854	860	17.270	0.681	 V 			3.574	1575	95.256	0.000	0.808	1.143	0	0	0.000	0.000
9	6.422	6.229	6.635	34760	1898	18.311	1.595	 V 			3.895	1370	109.503	0.000	0.648	1.090	0	0	0.000	0.000
10	6.830	6.635	7.221	139746	8405	16.628	6.411	 V 			4.206	3606	41.597	0.000	0.709	1.080	0	0	0.000	0.000
11	7.569	7.221	7.904	586829	37971	15.455	26.922	 V 			4.769	5220	28.738	0.000	1.691	1.134	0	0	0.000	0.000
12	8.044	7.904	8.565	97607	5390	18.108	4.478	 V 			5.131	1645	91.158	0.000	0.783	1.076	0	0	0.000	0.000
13	8.909	8.565	9.045	12983	748	17.368	0.596	 V 			5.790	4436	33.815	0.000	1.302	1.128	0	0	0.000	0.000
14	9.277	9.045	9.568	359394	25559	14.062	16.488	 V 			6.071	9335	16.068	0.000	0.801	1.048	0	0	0.000	0.000
15	9.707	9.568	10.219	66812	4758	14.042	3.065	 V 			6.398	8280	18.116	0.000	1.061	1.054	0	0	0.000	0.000
16	10.602	10.379	10.763	3429	250	13.732	0.157	   			7.081	4442	33.771	0.000	1.685	1.107	0	0	0.000	0.000
17	11.107	10.763	11.509	176873	12180	14.522	8.114	 V 			7.466	13939	10.761	1.167	0.997	1.054	0	0	0.000	0.000
18	11.828	11.509	12.000	21299	1347	15.813	0.977	 V 			8.015	13450	11.152	0.000	1.838	1.074	0	0	0.000	0.000
19	12.148	12.000	12.427	15085	1184	12.741	0.692	 V 			8.259	16694	8.985	0.000	0.815	1.030	0	0	0.000	0.000
20	12.710	12.427	12.971	14432	1095	13.176	0.662	   			8.687	20905	7.175	0.000	1.545	1.052	0	0	0.000	0.000
21	13.156	12.971	13.429	5399	418	12.916	0.248	 V 			9.027	20544	7.301	0.000	1.242	1.039	0	0	0.000	0.000
22	14.222	13.568	14.848	185556	14224	13.045	8.513	   			9.840	29654	5.058	1.049	3.056	1.090	0	0	0.000	0.000
23	15.489	15.221	15.712	21301	1763	12.082	0.977	   			10.806	34977	4.289	0.000	3.831	1.098	0	0	0.000	0.000
24	15.797	15.712	15.883	1987	224	8.875	0.091	 V 			11.041	6387	23.487	0.000	0.549	1.022	0	0	0.000	0.000
25	16.040	15.883	16.192	10280	924	11.128	0.472	 V 			11.226	40639	3.691	0.000	0.438	1.017	0	0	0.000	0.000
26	16.387	16.192	16.597	31060	2967	10.468	1.425	 V 			11.490	50450	2.973	0.000	1.139	1.024	0	0	0.000	0.000
27	16.776	16.597	16.981	6370	610	10.439	0.292	   			11.786	49256	3.045	0.977	1.307	1.026	0	0	0.000	0.000
28	17.509	17.291	17.664	4095	329	12.450	0.188	   			12.346	37619	3.987	0.000	2.212	1.047	0	0	0.000	0.000
29	17.749	17.664	17.877	1883	196	9.589	0.086	 V 			12.528	32940	4.554	0.000	0.638	1.015	0	0	0.000	0.000
30	18.050	17.877	18.197	3905	317	12.318	0.179	 V 			12.757	37413	4.009	0.000	0.786	1.018	0	0	0.000	0.000
31	18.433	18.197	18.507	8432	721	11.701	0.387	 V 			13.049	11012	13.621	0.000	0.712	1.023	0	0	0.000	0.000
32	18.660	18.507	18.901	16539	1404	11.783	0.759	 V 			13.222	44123	3.400	0.000	0.430	1.013	0	0	0.000	0.000
33	19.364	18.923	19.947	29466	2039	14.452	1.352	   			13.759	59770	2.510	0.978	2.095	1.041	0	0	0.000	0.000
34	20.291	20.171	20.512	2158	223	9.676	0.099	 V 			14.466	65796	2.280	0.000	2.928	1.051	0	0	0.000	0.000
35	20.925	20.693	21.099	2246	219	10.262	0.103	   			14.949	86017	1.744	0.830	2.107	1.033	0	0	0.000	0.000
36	21.439	21.131	21.643	4944	360	13.733	0.227	   			15.341	46078	3.255	0.802	1.502	1.026	0	0	0.000	0.000
37	22.005	21.653	22.272	103131	9667	10.668	4.731	   			15.772	93303	1.608	0.925	1.648	1.028	0	0	0.000	0.000
38	22.471	22.272	22.709	6683	501	13.346	0.307	 V 			16.127	45873	3.270	0.000	1.316	1.023	0	0	0.000	0.000
39	23.016	22.752	23.328	15460	1438	10.753	0.709	   			16.543	98425	1.524	0.953	1.528	1.026	0	0	0.000	0.000
40	27.731	27.531	28.000	2584	225	11.510	0.119	   			20.137	115306	1.301	1.023	15.208	1.217	0	0	0.000	0.000
41	29.520	29.387	29.685	1039	119	8.740	0.048	   			21.500	221283	0.678	1.043	6.193	1.068	0	0	0.000	0.000
42	44.912	44.512	44.971	7255	205	35.411	0.333	   			33.232	161595	0.928	0.573	44.109	1.546	0	0	0.000	0.000

