[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê011.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	35
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.408	0.032	1.653	78463	1086	72.224	9.135	   			0.000	2	88471.173	0.000	0.000	0.000	0	0	0.000	0.000
2	1.763	1.653	1.941	19027	1203	15.814	2.215	 V 			0.252	14	10434.922	0.000	0.115	0.000	0	0	0.000	0.000
3	2.158	1.941	2.240	29780	3993	7.457	3.467	 V 			0.533	2744	54.657	0.000	0.390	2.111	0	0	0.000	0.000
4	2.305	2.240	2.368	11080	2473	4.480	1.290	   			0.637	4584	32.721	0.000	0.975	1.196	0	0	0.000	0.000
5	2.422	2.368	2.560	6143	938	6.548	0.715	 V 			0.720	1296	115.768	0.000	0.577	1.130	0	0	0.000	0.000
6	6.419	6.219	6.624	3105	207	15.031	0.361	   			3.559	1988	75.463	0.000	9.460	4.942	0	0	0.000	0.000
7	6.803	6.624	7.125	6764	451	14.998	0.787	 V 			3.831	4069	36.868	0.000	0.765	1.077	0	0	0.000	0.000
8	7.285	7.125	7.339	1363	168	8.115	0.159	 V 			4.174	702	213.571	0.000	0.632	1.089	0	0	0.000	0.000
9	7.559	7.339	7.797	27434	1839	14.920	3.194	 V 			4.369	5208	28.799	0.000	0.361	1.047	0	0	0.000	0.000
10	8.035	7.797	8.501	30878	1671	18.478	3.595	 V 			4.706	4028	37.244	0.000	1.027	1.077	0	0	0.000	0.000
11	8.852	8.608	9.045	6490	455	14.278	0.756	   			5.287	7508	19.980	0.000	1.787	1.123	0	0	0.000	0.000
12	9.274	9.045	10.005	141271	8423	16.772	16.446	 V 			5.587	7216	20.787	1.805	0.998	1.057	0	0	0.000	0.000
13	11.096	10.699	11.520	144355	11435	12.624	16.805	   			6.881	17310	8.665	1.119	4.708	1.232	0	0	0.000	0.000
14	12.161	12.000	12.331	1405	124	11.301	0.164	   			7.637	19628	7.642	0.000	3.112	1.110	0	0	0.000	0.000
15	12.690	12.331	13.003	28892	2078	13.902	3.364	 V 			8.013	21281	7.049	0.000	1.522	1.049	0	0	0.000	0.000
16	13.131	13.003	13.376	5218	420	12.411	0.607	 V 			8.326	14416	10.405	0.000	1.123	1.039	0	0	0.000	0.000
17	13.902	13.536	14.037	10553	579	18.226	1.229	   			8.874	6836	21.942	0.000	1.389	1.066	0	0	0.000	0.000
18	14.205	14.037	14.496	21884	1803	12.140	2.548	 V 			9.089	27874	5.381	0.000	0.598	1.024	0	0	0.000	0.000
19	15.437	15.221	15.701	4843	387	12.523	0.564	   			9.964	31865	4.707	1.112	3.591	1.096	0	0	0.000	0.000
20	16.000	15.840	16.117	1993	167	11.938	0.232	   			10.364	5289	28.359	0.000	0.918	1.040	0	0	0.000	0.000
21	16.378	16.117	16.587	40076	3502	11.443	4.666	 V 			10.632	45646	3.286	0.869	0.637	1.026	0	0	0.000	0.000
22	16.779	16.587	17.024	15806	1529	10.338	1.840	 V 			10.917	55038	2.725	0.000	1.353	1.027	0	0	0.000	0.000
23	17.497	17.280	17.632	4977	436	11.413	0.579	   			11.427	41352	3.627	0.000	2.278	1.047	0	0	0.000	0.000
24	17.712	17.632	17.888	3214	285	11.266	0.374	 V 			11.579	25258	5.939	0.000	0.544	1.013	0	0	0.000	0.000
25	18.043	17.888	18.208	4812	356	13.526	0.560	 V 			11.814	29195	5.138	0.000	0.762	1.020	0	0	0.000	0.000
26	18.412	18.208	18.496	10330	888	11.628	1.203	 V 			12.077	22633	6.627	0.000	0.811	1.022	0	0	0.000	0.000
27	18.647	18.496	18.912	18190	1540	11.811	2.118	 V 			12.244	45575	3.291	0.000	0.559	1.014	0	0	0.000	0.000
28	19.351	18.997	19.947	33291	2375	14.018	3.876	   			12.744	58963	2.544	1.207	2.108	1.041	0	0	0.000	0.000
29	20.281	20.107	20.459	1997	221	9.035	0.233	   			13.404	105323	1.424	1.036	3.269	1.052	0	0	0.000	0.000
30	21.397	21.237	21.621	1808	167	10.833	0.211	   			14.197	86945	1.725	1.053	4.134	1.059	0	0	0.000	0.000
31	21.990	21.621	22.251	112467	10756	10.456	13.093	   			14.618	95429	1.572	0.910	2.060	1.030	0	0	0.000	0.000
32	22.446	22.293	22.635	2247	221	10.169	0.262	   			14.941	95475	1.571	1.108	1.585	1.022	0	0	0.000	0.000
33	22.998	22.731	23.253	19399	1854	10.464	2.258	   			15.334	101897	1.472	0.939	1.909	1.026	0	0	0.000	0.000
34	27.732	27.552	27.957	1619	157	10.320	0.188	   			18.696	126965	1.181	1.057	15.794	1.219	0	0	0.000	0.000
35	44.862	44.491	44.960	7804	328	23.808	0.909	   			30.862	161752	0.927	0.636	45.227	1.651	0	0	0.000	0.000

