[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê002.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	36
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.773	1.611	1.973	6988	519	13.454	0.482	   			0.000	506	296.572	0.000	0.000	0.000	0	0	0.000	0.000
2	2.167	1.973	2.240	23823	3834	6.213	1.644	 V 			0.222	2931	51.176	0.000	1.657	0.000	0	0	0.000	0.000
3	2.311	2.251	2.368	10864	2443	4.447	0.750	   			0.303	5123	29.279	0.000	0.991	1.364	0	0	0.000	0.000
4	2.426	2.368	2.571	6658	978	6.810	0.459	 V 			0.368	1071	140.000	0.000	0.542	1.215	0	0	0.000	0.000
5	5.170	4.960	5.280	6276	553	11.341	0.433	   			1.915	1427	105.128	0.000	6.502	5.203	0	0	0.000	0.000
6	5.415	5.280	5.813	11628	591	19.689	0.802	 V 			2.054	850	176.440	0.000	0.380	1.072	0	0	0.000	0.000
7	5.994	5.813	6.229	10232	588	17.412	0.706	 V 			2.380	1571	95.467	0.000	0.859	1.159	0	0	0.000	0.000
8	6.415	6.229	6.635	27583	1555	17.734	1.903	 V 			2.618	1563	95.944	0.000	0.671	1.100	0	0	0.000	0.000
9	6.828	6.635	7.285	131559	8051	16.341	9.079	 V 			2.851	3789	39.588	0.000	0.756	1.089	0	0	0.000	0.000
10	7.566	7.285	8.672	676868	42344	15.985	46.710	 V 			3.267	5371	27.928	1.953	1.723	1.146	0	0	0.000	0.000
11	8.898	8.704	9.045	3528	281	12.550	0.243	   			4.018	6616	22.671	0.000	3.131	1.230	0	0	0.000	0.000
12	9.273	9.045	9.547	132814	9847	13.488	9.165	 V 			4.229	10117	14.826	0.000	0.930	1.053	0	0	0.000	0.000
13	9.709	9.547	10.176	48528	3543	13.696	3.349	 V 			4.475	10422	14.393	0.000	1.164	1.058	0	0	0.000	0.000
14	10.549	10.421	10.805	1992	123	16.242	0.137	   			4.949	8898	16.858	0.000	2.030	1.106	0	0	0.000	0.000
15	11.107	10.805	11.509	47162	2880	16.377	3.255	 V 			5.263	11063	13.559	1.133	1.282	1.064	0	0	0.000	0.000
16	11.830	11.509	12.000	12349	827	14.932	0.852	 V 			5.671	14464	10.371	0.000	1.772	1.077	0	0	0.000	0.000
17	12.145	12.000	12.427	10152	790	12.849	0.701	 V 			5.849	16784	8.937	0.000	0.821	1.031	0	0	0.000	0.000
18	12.699	12.533	12.928	1833	177	10.328	0.126	   			6.161	27613	5.432	1.078	1.628	1.053	0	0	0.000	0.000
19	13.146	12.981	13.419	2127	186	11.406	0.147	   			6.413	28429	5.276	1.126	1.447	1.041	0	0	0.000	0.000
20	14.218	13.813	14.795	132921	10665	12.463	9.173	 V 			7.018	30302	4.950	1.076	3.357	1.094	0	0	0.000	0.000
21	15.484	15.253	15.701	8951	790	11.325	0.618	   			7.731	39225	3.824	0.971	3.960	1.102	0	0	0.000	0.000
22	16.033	15.883	16.203	4755	460	10.330	0.328	 V 			8.042	49785	3.013	0.000	1.832	1.040	0	0	0.000	0.000
23	16.384	16.203	16.565	13395	1360	9.848	0.924	 V 			8.239	55612	2.697	0.926	1.239	1.025	0	0	0.000	0.000
24	16.775	16.576	17.024	10175	933	10.903	0.702	   			8.459	47362	3.167	0.968	1.333	1.027	0	0	0.000	0.000
25	17.491	17.323	17.664	1584	157	10.071	0.109	   			8.864	60599	2.475	0.963	2.420	1.048	0	0	0.000	0.000
26	18.037	17.877	18.208	1603	145	11.037	0.111	   			9.171	39835	3.766	0.000	1.690	1.035	0	0	0.000	0.000
27	18.421	18.208	18.517	4839	406	11.926	0.334	 V 			9.388	9949	15.077	0.000	0.699	1.024	0	0	0.000	0.000
28	18.653	18.517	18.901	9337	837	11.155	0.644	 V 			9.519	45755	3.278	0.000	0.427	1.014	0	0	0.000	0.000
29	19.083	18.912	19.200	2023	173	11.679	0.140	   			9.761	11113	13.497	0.000	0.800	1.025	0	0	0.000	0.000
30	19.358	19.200	19.733	12310	1017	12.099	0.850	 V 			9.916	64620	2.321	0.000	0.535	1.016	0	0	0.000	0.000
31	21.414	21.280	21.653	1444	145	9.933	0.100	   			11.076	97712	1.535	1.207	7.107	1.117	0	0	0.000	0.000
32	22.003	21.653	22.261	55191	5290	10.434	3.809	   			11.408	95414	1.572	0.905	2.110	1.030	0	0	0.000	0.000
33	22.461	22.272	22.709	2366	210	11.244	0.163	   			11.666	66012	2.272	0.981	1.441	1.023	0	0	0.000	0.000
34	23.012	22.795	23.296	6682	626	10.667	0.461	   			11.977	97728	1.535	1.094	1.712	1.027	0	0	0.000	0.000
35	29.510	29.365	29.696	1353	155	8.736	0.093	   			15.641	200698	0.747	1.169	23.291	1.306	0	0	0.000	0.000
36	44.804	44.501	44.960	7197	400	17.999	0.497	   			24.266	160899	0.932	0.762	43.066	1.551	0	0	0.000	0.000

