[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê007.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	38
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.216	0.032	1.280	53364	1054	50.623	2.966	   			0.000	2	64877.167	0.000	0.000	0.000	0	0	0.000	0.000
2	1.333	1.280	1.621	21709	1060	20.474	1.206	 V 			0.096	0	12989896.427	0.000	0.004	0.000	0	0	0.000	0.000
3	1.841	1.621	1.995	25853	1340	19.294	1.437	 V 			0.514	9	17484.038	0.000	0.019	5.329	0	0	0.000	0.000
4	2.160	1.995	2.240	27086	4104	6.601	1.505	 V 			0.776	2812	53.337	0.000	0.238	1.510	0	0	0.000	0.000
5	2.306	2.240	2.368	10692	2436	4.390	0.594	   			0.897	4536	33.069	0.000	0.974	1.155	0	0	0.000	0.000
6	2.425	2.368	2.549	5356	839	6.386	0.298	 V 			0.994	1337	112.179	0.000	0.589	1.109	0	0	0.000	0.000
7	6.422	6.219	6.624	5892	394	14.945	0.327	   			4.282	2198	68.251	0.000	9.832	4.307	0	0	0.000	0.000
8	6.805	6.624	7.125	13138	812	16.182	0.730	 V 			4.596	3561	42.126	0.000	0.763	1.074	0	0	0.000	0.000
9	7.296	7.125	7.349	3023	329	9.200	0.168	 V 			5.000	0	0.000	0.000	0.000	1.088	0	0	0.000	0.000
10	7.555	7.349	7.765	43570	2939	14.824	2.421	 V 			5.213	4863	30.843	0.000	0.000	1.043	0	0	0.000	0.000
11	8.029	7.765	8.587	78150	3526	22.166	4.343	 V 			5.603	3214	46.666	0.000	0.947	1.075	0	0	0.000	0.000
12	8.859	8.587	9.045	30145	1965	15.341	1.675	 V 			6.285	6321	23.730	0.000	1.640	1.122	0	0	0.000	0.000
13	9.307	9.045	10.304	361350	17643	20.481	20.082	 V 			6.654	5837	25.699	1.531	0.961	1.059	0	0	0.000	0.000
14	11.093	10.677	11.637	611356	51337	11.909	33.976	   			8.123	18827	7.967	1.156	4.407	1.221	0	0	0.000	0.000
15	12.160	12.000	12.352	1424	130	10.952	0.079	   			9.000	24447	6.136	1.055	3.363	1.108	0	0	0.000	0.000
16	12.687	12.373	12.981	65324	5259	12.422	3.630	   			9.433	23336	6.428	1.216	1.639	1.048	0	0	0.000	0.000
17	13.141	12.981	13.408	7841	642	12.217	0.436	 V 			9.807	20592	7.284	0.000	1.302	1.040	0	0	0.000	0.000
18	13.878	13.515	14.027	16184	931	17.391	0.899	   			10.413	11559	12.977	0.000	1.670	1.062	0	0	0.000	0.000
19	14.202	14.027	14.485	25137	2054	12.237	1.397	 V 			10.680	28175	5.324	0.000	0.758	1.026	0	0	0.000	0.000
20	15.436	15.211	15.680	4819	389	12.373	0.268	   			11.694	30607	4.901	1.047	3.570	1.095	0	0	0.000	0.000
21	16.000	15.819	16.107	2406	203	11.827	0.134	   			12.158	0	0.000	0.000	0.000	1.040	0	0	0.000	0.000
22	16.373	16.107	16.608	73905	6497	11.375	4.107	 V 			12.464	46227	3.245	0.892	0.000	1.025	0	0	0.000	0.000
23	16.770	16.608	16.992	11220	1077	10.422	0.624	 V 			12.791	51549	2.910	0.000	1.325	1.026	0	0	0.000	0.000
24	17.501	17.248	17.621	5195	441	11.784	0.289	   			13.392	29580	5.071	0.000	2.080	1.047	0	0	0.000	0.000
25	17.726	17.621	17.877	4335	386	11.219	0.241	 V 			13.577	22830	6.570	0.000	0.515	1.014	0	0	0.000	0.000
26	18.031	17.877	18.197	5542	425	13.049	0.308	 V 			13.828	32854	4.566	0.000	0.703	1.018	0	0	0.000	0.000
27	18.415	18.197	18.496	12066	1006	11.990	0.671	 V 			14.144	13929	10.769	0.000	0.751	1.023	0	0	0.000	0.000
28	18.644	18.496	18.933	24159	2082	11.605	1.343	 V 			14.332	45964	3.263	0.000	0.471	1.013	0	0	0.000	0.000
29	19.348	18.976	19.947	41925	3189	13.145	2.330	   			14.911	61529	2.438	1.200	2.134	1.040	0	0	0.000	0.000
30	20.064	19.947	20.171	1096	111	9.851	0.061	   			15.500	6197	24.207	0.000	1.076	1.039	0	0	0.000	0.000
31	20.277	20.171	20.469	2129	236	9.015	0.118	 V 			15.675	68273	2.197	0.000	0.321	1.011	0	0	0.000	0.000
32	20.903	20.715	21.109	1665	155	10.729	0.093	   			16.190	77032	1.947	1.024	2.045	1.033	0	0	0.000	0.000
33	21.425	21.109	21.621	6103	464	13.146	0.339	   			16.619	58420	2.568	0.814	1.592	1.027	0	0	0.000	0.000
34	21.993	21.632	22.251	161756	15608	10.364	8.990	   			17.086	96028	1.562	0.918	1.779	1.028	0	0	0.000	0.000
35	22.455	22.251	22.667	6127	550	11.137	0.340	   			17.467	78314	1.915	0.959	1.530	1.022	0	0	0.000	0.000
36	23.002	22.720	23.285	16785	1596	10.514	0.933	   			17.916	101701	1.475	0.942	1.795	1.026	0	0	0.000	0.000
37	27.717	27.531	28.000	3443	301	11.438	0.191	   			21.793	123770	1.212	1.088	15.620	1.216	0	0	0.000	0.000
38	44.822	44.480	44.960	8095	418	19.378	0.450	   			35.860	151863	0.988	0.716	44.130	1.645	0	0	0.000	0.000

