[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê003.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	40
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.753	1.579	1.941	7320	527	13.882	0.496	   			0.000	319	470.834	0.000	0.000	0.000	0	0	0.000	0.000
2	2.162	1.941	2.240	24923	3739	6.666	1.688	 V 			0.233	2859	52.472	0.000	1.475	0.000	0	0	0.000	0.000
3	2.306	2.240	2.368	12090	2672	4.524	0.819	   			0.315	4157	36.083	0.000	0.943	1.352	0	0	0.000	0.000
4	2.421	2.368	2.581	7276	1069	6.807	0.493	 V 			0.381	1124	133.465	0.000	0.532	1.208	0	0	0.000	0.000
5	5.162	4.949	5.269	5919	528	11.201	0.401	   			1.944	1208	124.153	0.000	6.209	5.105	0	0	0.000	0.000
6	5.411	5.269	5.792	11202	560	20.007	0.759	 V 			2.086	756	198.487	0.000	0.361	1.073	0	0	0.000	0.000
7	5.986	5.792	6.219	9809	562	17.452	0.664	 V 			2.414	1329	112.825	0.000	0.796	1.157	0	0	0.000	0.000
8	6.419	6.219	6.624	26211	1481	17.696	1.775	 V 			2.661	1548	96.892	0.000	0.661	1.102	0	0	0.000	0.000
9	6.822	6.624	7.285	124148	7455	16.652	8.409	 V 			2.891	3684	40.722	0.000	0.732	1.086	0	0	0.000	0.000
10	7.560	7.285	8.587	624150	38417	16.247	42.275	SV 			3.312	5244	28.603	2.072	1.703	1.146	0	0	0.000	0.000
11	8.021	7.979	8.245	3089	298	10.359	0.209	T  			3.575	18271	8.210	3.140	1.408	1.079	0	0	0.000	0.000
12	8.894	8.715	9.035	3063	257	11.923	0.207	   			4.073	8204	18.283	0.000	2.770	1.139	0	0	0.000	0.000
13	9.266	9.035	9.547	156277	11503	13.586	10.585	 V 			4.285	9967	15.049	0.000	0.973	1.052	0	0	0.000	0.000
14	9.700	9.547	10.123	45945	3352	13.706	3.112	 V 			4.532	10120	14.821	0.000	1.148	1.058	0	0	0.000	0.000
15	10.528	10.400	10.805	2268	124	18.247	0.154	   			5.005	5808	25.826	0.000	1.765	1.104	0	0	0.000	0.000
