[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê003.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	40
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
16	11.099	10.805	11.499	55820	3436	16.244	3.781	 V 			5.330	11179	13.418	1.130	1.174	1.065	0	0	0.000	0.000
17	11.826	11.499	12.000	13092	863	15.162	0.887	 V 			5.745	13930	10.768	0.000	1.771	1.078	0	0	0.000	0.000
18	12.138	12.000	12.405	10458	819	12.777	0.708	 V 			5.923	15937	9.412	0.000	0.795	1.031	0	0	0.000	0.000
19	12.703	12.512	12.896	2375	216	10.977	0.161	   			6.245	27176	5.520	0.977	1.630	1.054	0	0	0.000	0.000
20	13.145	12.971	13.419	2312	209	11.078	0.157	   			6.497	26694	5.619	1.083	1.404	1.040	0	0	0.000	0.000
21	14.211	13.589	14.784	143560	11311	12.692	9.724	   			7.105	30213	4.965	1.065	3.286	1.094	0	0	0.000	0.000
22	15.471	15.221	15.669	9709	836	11.616	0.658	   			7.824	37405	4.010	0.996	3.894	1.101	0	0	0.000	0.000
23	15.765	15.669	15.883	1014	97	10.421	0.069	 V 			7.992	20780	7.219	0.000	0.778	1.021	0	0	0.000	0.000
24	16.023	15.883	16.181	5242	500	10.491	0.355	 V 			8.139	44108	3.401	0.000	0.693	1.018	0	0	0.000	0.000
25	16.379	16.181	16.565	17205	1709	10.064	1.165	 V 			8.342	54099	2.773	0.000	1.216	1.025	0	0	0.000	0.000
26	16.775	16.576	16.981	11180	1051	10.642	0.757	   			8.568	48527	3.091	0.937	1.350	1.027	0	0	0.000	0.000
27	17.491	17.227	17.664	2370	200	11.863	0.161	   			8.976	42969	3.491	0.782	2.230	1.048	0	0	0.000	0.000
28	18.045	17.867	18.187	2081	181	11.478	0.141	   			9.292	34120	4.396	0.000	1.522	1.035	0	0	0.000	0.000
29	18.413	18.187	18.496	5856	506	11.574	0.397	 V 			9.502	9968	15.048	0.000	0.652	1.023	0	0	0.000	0.000
30	18.645	18.496	18.880	11965	1025	11.669	0.810	 V 			9.634	44711	3.355	0.000	0.424	1.014	0	0	0.000	0.000
31	19.083	18.880	19.179	2157	194	11.105	0.146	   			9.884	3332	45.023	0.000	0.523	1.026	0	0	0.000	0.000
32	19.353	19.179	19.915	17263	1311	13.167	1.169	 V 			10.038	60061	2.497	0.000	0.330	1.016	0	0	0.000	0.000
33	20.897	20.736	21.077	1459	157	9.280	0.099	   			10.919	90789	1.652	1.051	5.207	1.088	0	0	0.000	0.000
34	21.427	21.173	21.621	3133	251	12.488	0.212	   			11.221	56710	2.645	0.831	1.664	1.028	0	0	0.000	0.000
35	21.996	21.675	22.240	72269	6956	10.390	4.895	   			11.545	95392	1.572	0.914	1.763	1.029	0	0	0.000	0.000
36	22.452	22.283	22.656	2979	279	10.671	0.202	   			11.806	79216	1.894	1.046	1.510	1.023	0	0	0.000	0.000
37	23.002	22.752	23.339	8903	800	11.126	0.603	   			12.119	95957	1.563	1.034	1.785	1.027	0	0	0.000	0.000
38	27.725	27.563	27.979	1469	134	10.992	0.100	   			14.813	143142	1.048	1.157	16.006	1.222	0	0	0.000	0.000
39	29.505	29.365	29.675	1582	185	8.537	0.107	   			15.829	210045	0.714	1.070	6.469	1.069	0	0	0.000	0.000
40	44.801	44.491	44.960	7275	403	18.074	0.493	   			24.553	157663	0.951	0.768	43.157	1.551	0	0	0.000	0.000

