[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê006.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	43
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
13	9.266	9.024	9.568	348704	24270	14.368	16.548	 V 			4.111	8986	16.692	0.000	0.787	1.053	0	0	0.000	0.000
14	9.690	9.568	10.336	53018	3686	14.382	2.516	 V 			4.345	6748	22.229	0.000	0.983	1.057	0	0	0.000	0.000
15	10.587	10.379	10.720	3797	289	13.132	0.180	   			4.840	6014	24.943	0.000	1.762	1.114	0	0	0.000	0.000
16	11.095	10.720	11.499	185144	13034	14.205	8.786	 V 			5.121	14680	10.218	1.180	1.114	1.058	0	0	0.000	0.000
17	11.818	11.499	11.989	24561	1546	15.885	1.166	 V 			5.519	12869	11.656	0.000	1.846	1.078	0	0	0.000	0.000
18	12.135	11.989	12.416	19164	1415	13.543	0.909	 V 			5.694	14843	10.106	0.000	0.777	1.032	0	0	0.000	0.000
19	12.696	12.416	12.949	15112	1028	14.699	0.717	 V 			6.004	18093	8.290	0.000	1.447	1.054	0	0	0.000	0.000
20	13.150	12.949	13.408	5910	443	13.348	0.280	 V 			6.254	19912	7.533	0.000	1.211	1.042	0	0	0.000	0.000
21	13.877	13.536	13.973	8779	559	15.701	0.417	   			6.655	15	9728.574	0.000	0.100	1.064	0	0	0.000	0.000
22	14.211	13.973	14.784	194756	15797	12.329	9.242	 V 			6.839	30068	4.989	1.085	0.046	1.028	0	0	0.000	0.000
23	15.477	15.221	15.680	18036	1470	12.273	0.856	   			7.538	34112	4.397	0.000	3.820	1.102	0	0	0.000	0.000
24	15.787	15.680	15.861	2986	324	9.204	0.142	 V 			7.709	15935	9.413	0.000	0.741	1.023	0	0	0.000	0.000
25	16.025	15.861	16.181	11826	964	12.264	0.561	 V 			7.840	32342	4.638	0.000	0.557	1.017	0	0	0.000	0.000
26	16.378	16.181	16.587	40602	3651	11.120	1.927	 V 			8.035	46726	3.210	0.000	1.069	1.025	0	0	0.000	0.000
27	16.747	16.587	16.992	7812	603	12.958	0.371	 V 			8.238	30789	4.872	0.000	1.078	1.025	0	0	0.000	0.000
28	17.494	17.280	17.653	3582	291	12.307	0.170	   			8.650	32647	4.595	0.000	1.943	1.050	0	0	0.000	0.000
29	17.760	17.653	17.856	1672	174	9.587	0.079	 V 			8.797	22538	6.655	0.000	0.618	1.017	0	0	0.000	0.000
30	18.040	17.856	18.187	4630	371	12.485	0.220	 V 			8.951	36664	4.091	0.000	0.658	1.018	0	0	0.000	0.000
31	18.428	18.187	18.496	9414	804	11.706	0.447	 V 			9.165	11491	13.054	0.000	0.729	1.024	0	0	0.000	0.000
32	18.647	18.496	18.891	19352	1661	11.654	0.918	 V 			9.286	45557	3.293	0.000	0.422	1.013	0	0	0.000	0.000
33	19.353	18.891	19.915	35991	2592	13.883	1.708	   			9.676	61054	2.457	0.980	2.133	1.042	0	0	0.000	0.000
34	20.075	19.957	20.181	1030	104	9.884	0.049	   			10.074	1596	93.974	0.000	0.621	1.041	0	0	0.000	0.000
35	20.275	20.181	20.480	1997	215	9.284	0.095	 V 			10.184	65749	2.281	0.000	0.172	1.011	0	0	0.000	0.000
36	20.906	20.704	21.099	2871	259	11.086	0.136	   			10.533	73909	2.030	0.000	2.023	1.034	0	0	0.000	0.000
37	21.430	21.099	21.621	5732	415	13.805	0.272	 V 			10.821	49804	3.012	0.000	1.514	1.027	0	0	0.000	0.000
38	21.997	21.621	22.240	130011	12422	10.466	6.170	   			11.135	94675	1.584	0.913	1.695	1.029	0	0	0.000	0.000
39	22.455	22.251	22.688	5348	463	11.561	0.254	   			11.387	74081	2.025	0.983	1.485	1.023	0	0	0.000	0.000
40	23.007	22.741	23.328	15206	1401	10.854	0.722	   			11.692	96805	1.550	0.962	1.766	1.027	0	0	0.000	0.000
41	27.734	27.520	27.989	2717	239	11.365	0.129	   			14.299	122325	1.226	0.945	15.422	1.223	0	0	0.000	0.000
42	29.506	29.365	29.675	1220	137	8.895	0.058	   			15.277	226088	0.663	1.100	6.269	1.068	0	0	0.000	0.000
43	44.873	44.480	44.960	8068	319	25.327	0.383	   			23.754	168370	0.891	0.613	44.824	1.555	0	0	0.000	0.000

