[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê006.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	43
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.813	0.032	1.984	97702	1340	72.908	4.637	   			0.000	8	17954.411	0.000	0.000	0.000	0	0	0.000	0.000
2	2.160	1.984	2.240	26228	3833	6.843	1.245	 V 			0.192	2682	55.936	0.000	0.260	0.000	0	0	0.000	0.000
3	2.306	2.240	2.368	11693	2618	4.466	0.555	   			0.272	4320	34.719	0.000	0.950	1.420	0	0	0.000	0.000
4	2.420	2.368	2.560	6373	1000	6.372	0.302	 V 			0.335	1284	116.832	0.000	0.554	1.231	0	0	0.000	0.000
5	5.163	4.960	5.269	5964	536	11.135	0.283	   			1.848	1295	115.860	0.000	6.499	5.518	0	0	0.000	0.000
6	5.392	5.269	5.781	11090	555	19.965	0.526	 V 			1.974	581	258.153	0.000	0.312	1.068	0	0	0.000	0.000
7	5.989	5.781	6.208	11724	663	17.670	0.556	 V 			2.304	1427	105.150	0.000	0.781	1.167	0	0	0.000	0.000
8	6.411	6.208	6.624	29927	1630	18.364	1.420	 V 			2.536	1394	107.608	0.000	0.638	1.101	0	0	0.000	0.000
9	6.818	6.624	7.221	118528	7039	16.838	5.625	 V 			2.761	3495	42.915	0.000	0.710	1.089	0	0	0.000	0.000
10	7.559	7.221	7.893	495606	31722	15.624	23.520	 V 			3.170	5059	29.650	0.000	1.671	1.148	0	0	0.000	0.000
11	8.033	7.893	8.661	91854	4942	18.587	4.359	 V 			3.432	1576	95.206	0.000	0.769	1.083	0	0	0.000	0.000
12	8.893	8.661	9.024	11450	782	14.646	0.543	 V 			3.906	4066	36.891	0.000	1.257	1.138	0	0	0.000	0.000
