[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê009.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	38
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.873	1.653	2.005	8252	655	12.601	0.461	   			0.000	3	51423.620	0.000	0.000	0.000	0	0	0.000	0.000
2	2.160	2.005	2.240	23116	3894	5.936	1.290	 V 			0.153	3065	48.945	0.000	0.126	0.000	0	0	0.000	0.000
3	2.306	2.240	2.368	11696	2567	4.556	0.653	   			0.231	3956	37.921	0.000	0.962	1.507	0	0	0.000	0.000
4	2.421	2.368	2.528	9219	1200	7.683	0.515	 V 			0.292	714	209.963	0.000	0.452	1.266	0	0	0.000	0.000
5	2.605	2.528	2.880	7861	594	13.232	0.439	 V 			0.391	0	0.000	0.000	0.000	1.335	0	0	0.000	0.000
6	5.952	5.856	6.229	1336	77	17.382	0.075	   			2.178	3357	44.684	0.000	0.000	5.576	0	0	0.000	0.000
7	6.414	6.229	6.624	8511	537	15.847	0.475	 V 			2.425	2131	70.391	0.000	0.957	1.113	0	0	0.000	0.000
8	6.800	6.624	7.136	18008	1103	16.324	1.005	 V 			2.630	3515	42.674	0.000	0.760	1.085	0	0	0.000	0.000
9	7.296	7.136	7.349	4004	426	9.407	0.224	 V 			2.895	0	0.000	0.000	0.000	1.101	0	0	0.000	0.000
10	7.547	7.349	7.765	57337	3874	14.801	3.201	 V 			3.029	4980	30.123	0.000	0.000	1.046	0	0	0.000	0.000
11	8.022	7.765	8.608	90003	4177	21.546	5.024	 V 			3.283	3338	44.940	0.000	0.966	1.084	0	0	0.000	0.000
12	8.851	8.608	9.035	28653	1911	14.991	1.600	 V 			3.725	6522	22.998	0.000	1.668	1.135	0	0	0.000	0.000
13	9.287	9.035	10.293	378379	19000	19.915	21.123	 V 			3.958	5978	25.090	1.609	0.949	1.063	0	0	0.000	0.000
14	11.088	10.688	11.627	564010	46959	12.011	31.486	   			4.920	18649	8.043	1.164	4.473	1.243	0	0	0.000	0.000
15	11.798	11.637	11.979	2103	207	10.149	0.117	   			5.299	25965	5.777	1.016	2.298	1.077	0	0	0.000	0.000
16	12.132	11.979	12.331	2418	225	10.738	0.135	   			5.477	26185	5.729	1.186	1.126	1.034	0	0	0.000	0.000
17	12.683	12.331	12.960	59766	4738	12.613	3.336	   			5.771	23042	6.510	0.000	1.738	1.054	0	0	0.000	0.000
18	13.134	12.960	13.387	10359	829	12.497	0.578	 V 			6.012	21336	7.030	0.000	1.301	1.042	0	0	0.000	0.000
19	13.862	13.387	14.016	24378	1335	18.256	1.361	   			6.401	11485	13.060	0.000	1.661	1.065	0	0	0.000	0.000
20	14.200	14.016	14.507	43824	3579	12.243	2.447	 V 			6.581	28839	5.201	0.000	0.792	1.028	0	0	0.000	0.000
21	15.441	15.221	15.691	6004	478	12.564	0.335	   			7.244	31268	4.797	1.022	3.630	1.101	0	0	0.000	0.000
22	16.000	15.797	16.096	3173	291	10.906	0.177	   			7.542	9105	16.475	0.000	1.096	1.041	0	0	0.000	0.000
23	16.370	16.096	16.597	94506	8445	11.191	5.276	 V 			7.740	47404	3.164	0.919	0.762	1.026	0	0	0.000	0.000
24	16.758	16.597	17.045	9418	848	11.100	0.526	 V 			7.947	44563	3.366	0.000	1.254	1.027	0	0	0.000	0.000
25	17.488	17.259	17.611	5958	520	11.459	0.333	   			8.336	32557	4.607	0.000	2.071	1.049	0	0	0.000	0.000
26	17.718	17.611	17.877	5391	482	11.183	0.301	 V 			8.459	25977	5.774	0.000	0.555	1.015	0	0	0.000	0.000
27	18.030	17.877	18.187	6249	514	12.160	0.349	 V 			8.626	38348	3.912	0.000	0.773	1.020	0	0	0.000	0.000
28	18.413	18.187	18.496	12855	1050	12.243	0.718	 V 			8.830	14804	10.132	0.000	0.786	1.024	0	0	0.000	0.000
29	18.639	18.496	18.891	26051	2275	11.454	1.454	 V 			8.951	47691	3.145	0.000	0.478	1.014	0	0	0.000	0.000
30	19.344	18.997	19.947	49029	3850	12.736	2.737	S  			9.327	62969	2.382	1.159	2.170	1.042	0	0	0.000	0.000
31	20.273	20.160	20.491	2843	297	9.575	0.159	 V 			9.823	67945	2.208	0.000	3.000	1.053	0	0	0.000	0.000
32	20.896	20.725	21.067	1393	142	9.805	0.078	   			10.156	88371	1.697	0.988	2.103	1.034	0	0	0.000	0.000
33	21.417	21.067	21.643	6391	455	14.039	0.357	 V 			10.434	49698	3.018	0.759	1.567	1.027	0	0	0.000	0.000
34	21.988	21.643	22.261	172645	16688	10.346	9.638	   			10.739	96560	1.553	0.918	1.710	1.029	0	0	0.000	0.000
35	22.457	22.261	22.656	5624	510	11.020	0.314	   			10.990	79124	1.896	0.943	1.560	1.023	0	0	0.000	0.000
36	22.997	22.720	23.275	18899	1813	10.426	1.055	   			11.278	102934	1.457	0.958	1.781	1.026	0	0	0.000	0.000
37	27.713	27.499	27.957	3488	319	10.951	0.195	   			13.796	128396	1.168	0.951	15.824	1.223	0	0	0.000	0.000
38	44.876	44.491	44.971	8146	346	23.540	0.455	   			22.958	165456	0.907	0.625	45.727	1.664	0	0	0.000	0.000

