[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê005.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	42
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.832	0.021	1.984	97755	1408	69.440	4.502	   			0.000	13	11838.162	0.000	0.000	0.000	0	0	0.000	0.000
2	2.163	1.984	2.240	26521	3970	6.680	1.221	 V 			0.181	2580	58.130	0.000	0.297	0.000	0	0	0.000	0.000
3	2.307	2.240	2.368	10887	2428	4.484	0.501	   			0.260	4623	32.444	0.000	0.946	1.438	0	0	0.000	0.000
4	2.421	2.368	2.560	6165	954	6.461	0.284	 V 			0.322	1227	122.201	0.000	0.551	1.239	0	0	0.000	0.000
5	5.164	4.949	5.291	7045	579	12.165	0.324	   			1.820	1361	110.175	0.000	6.561	5.655	0	0	0.000	0.000
6	5.400	5.291	5.781	11592	625	18.541	0.534	 V 			1.948	961	156.051	0.000	0.375	1.071	0	0	0.000	0.000
7	5.998	5.781	6.219	11402	620	18.379	0.525	 V 			2.275	1228	122.185	0.000	0.866	1.168	0	0	0.000	0.000
8	6.409	6.219	6.624	31814	1803	17.643	1.465	 V 			2.499	1484	101.051	0.000	0.608	1.099	0	0	0.000	0.000
9	6.820	6.624	7.243	141437	8501	16.638	6.514	 V 			2.723	3644	41.161	0.000	0.736	1.090	0	0	0.000	0.000
10	7.558	7.243	7.925	674886	43638	15.466	31.084	 V 			3.127	5208	28.804	0.000	1.697	1.148	0	0	0.000	0.000
11	8.028	7.925	8.683	78890	4524	17.437	3.633	 V 			3.383	660	227.374	0.000	0.563	1.082	0	0	0.000	0.000
12	8.911	8.683	9.035	11478	809	14.192	0.529	 V 			3.865	4908	30.563	0.000	1.004	1.143	0	0	0.000	0.000
13	9.266	9.035	9.568	327666	23387	14.010	15.092	 V 			4.059	9476	15.829	0.000	0.798	1.050	0	0	0.000	0.000
14	9.696	9.568	10.251	52223	3700	14.114	2.405	 V 			4.294	7773	19.298	0.000	1.048	1.058	0	0	0.000	0.000
15	10.592	10.379	10.741	3234	236	13.683	0.149	   			4.783	5750	26.087	0.000	1.794	1.114	0	0	0.000	0.000
16	11.097	10.741	11.509	141899	9991	14.203	6.536	 V 			5.059	14776	10.151	1.183	1.094	1.058	0	0	0.000	0.000
17	11.819	11.509	11.989	20938	1399	14.964	0.964	 V 			5.453	14459	10.374	0.000	1.903	1.078	0	0	0.000	0.000
