[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\2090813\‰–”Z“x•Ê004.lcd
Output Date	2019/08/18
Output Time	21:47:37

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	26
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.323	0.043	1.504	69119	1097	62.990	8.548	   			0.000	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
2	1.917	1.504	2.027	43491	2079	20.922	5.379	 V 			0.449	271	553.715	0.000	0.000	0.000	0	0	0.000	0.000
3	2.158	2.027	2.251	25471	4198	6.067	3.150	 V 			0.631	2747	54.596	0.000	0.765	1.406	0	0	0.000	0.000
4	2.310	2.251	2.368	10256	2371	4.326	1.268	   			0.746	5425	27.650	0.000	1.047	1.182	0	0	0.000	0.000
5	2.424	2.368	2.560	5913	904	6.545	0.731	 V 			0.832	1283	116.872	0.000	0.576	1.116	0	0	0.000	0.000
6	5.952	5.867	6.251	1592	63	25.238	0.197	   			3.500	267	560.981	0.000	4.087	4.204	0	0	0.000	0.000
7	6.412	6.251	6.635	8860	549	16.149	1.096	 V 			3.848	2358	63.609	0.000	0.464	1.099	0	0	0.000	0.000
8	6.828	6.635	7.296	48053	3152	15.244	5.943	 V 			4.162	4430	33.857	0.000	0.885	1.082	0	0	0.000	0.000
9	7.572	7.296	8.651	447914	29955	14.953	55.394	 V 			4.725	5856	25.617	1.526	1.847	1.135	0	0	0.000	0.000
10	9.277	9.045	9.557	37279	2825	13.197	4.610	   			6.014	10542	14.228	0.000	4.503	1.273	0	0	0.000	0.000
11	9.696	9.557	10.144	10693	811	13.189	1.322	 V 			6.331	10568	14.193	0.000	1.135	1.053	0	0	0.000	0.000
12	11.111	10.837	11.424	11149	939	11.869	1.379	   			7.401	18748	8.001	1.094	4.032	1.169	0	0	0.000	0.000
13	11.580	11.424	11.755	1157	116	10.009	0.143	   			7.755	28233	5.313	1.045	1.561	1.048	0	0	0.000	0.000
14	13.971	13.781	14.080	1606	152	10.536	0.199	   			9.563	18586	8.071	0.000	6.977	1.233	0	0	0.000	0.000
15	14.211	14.080	14.496	4309	378	11.397	0.533	 V 			9.744	33057	4.538	0.000	0.662	1.019	0	0	0.000	0.000
16	15.348	15.179	15.616	1779	160	11.091	0.220	   			10.604	37078	4.046	1.198	3.604	1.088	0	0	0.000	0.000
17	16.385	16.149	16.576	10819	1027	10.534	1.338	   			11.388	50258	2.985	0.000	3.392	1.074	0	0	0.000	0.000
18	16.764	16.576	17.045	5786	457	12.672	0.716	 V 			11.674	34756	4.316	0.000	1.162	1.025	0	0	0.000	0.000
19	18.634	18.453	18.859	3213	342	9.391	0.397	   			13.088	68456	2.191	0.978	5.803	1.121	0	0	0.000	0.000
20	19.033	18.869	19.189	1406	155	9.055	0.174	   			13.390	86568	1.733	1.026	1.466	1.023	0	0	0.000	0.000
21	19.372	19.189	19.563	3170	289	10.983	0.392	   			13.646	70811	2.118	0.000	1.235	1.019	0	0	0.000	0.000
22	20.166	19.957	20.469	5610	466	12.035	0.694	   			14.247	59811	2.508	1.215	2.557	1.044	0	0	0.000	0.000
23	20.936	20.768	21.099	1329	146	9.090	0.164	   			14.828	106578	1.407	0.942	2.625	1.041	0	0	0.000	0.000
24	22.006	21.728	22.272	36801	3678	10.007	4.551	   			15.638	100367	1.495	0.961	4.007	1.055	0	0	0.000	0.000
25	29.511	29.344	29.717	2457	263	9.353	0.304	   			21.312	193890	0.774	1.037	27.494	1.363	0	0	0.000	0.000
26	44.850	44.491	44.971	9365	517	18.126	1.158	   			32.909	163740	0.916	0.675	43.121	1.544	0	0	0.000	0.000

