[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\2090813\‰–”Z“x•Ê005.lcd
Output Date	2019/08/18
Output Time	21:47:37

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	28
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.323	0.021	1.547	73312	1111	65.996	8.036	   			0.000	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
2	1.904	1.547	2.016	36911	1735	21.269	4.046	 V 			0.440	13	11218.189	0.000	0.000	0.000	0	0	0.000	0.000
3	2.149	2.016	2.240	25752	4171	6.173	2.823	 V 			0.625	2670	56.180	0.000	0.218	1.421	0	0	0.000	0.000
4	2.301	2.240	2.357	10211	2381	4.288	1.119	   			0.740	5459	27.477	0.000	1.042	1.183	0	0	0.000	0.000
5	2.416	2.357	2.539	5562	852	6.525	0.610	 V 			0.826	1095	137.025	0.000	0.551	1.117	0	0	0.000	0.000
6	5.419	4.981	5.621	3018	125	24.068	0.331	   			3.097	1489	100.726	0.735	7.035	3.748	0	0	0.000	0.000
7	5.963	5.856	6.240	1922	88	21.939	0.211	   			3.508	901	166.406	0.000	0.802	1.133	0	0	0.000	0.000
8	6.411	6.240	6.624	10554	665	15.869	1.157	 V 			3.847	2417	62.071	0.000	0.681	1.097	0	0	0.000	0.000
9	6.823	6.624	7.275	60110	3964	15.165	6.589	 V 			4.158	4449	33.714	0.000	0.885	1.081	0	0	0.000	0.000
10	7.568	7.275	8.533	545839	36712	14.868	59.830	 V 			4.722	5867	25.567	1.517	1.853	1.136	0	0	0.000	0.000
11	9.272	9.035	9.536	33909	2577	13.158	3.717	   			6.010	10579	14.179	0.000	4.510	1.273	0	0	0.000	0.000
12	9.695	9.536	10.101	13439	1013	13.271	1.473	 V 			6.330	10900	13.762	0.000	1.154	1.053	0	0	0.000	0.000
13	11.104	10.869	11.413	10372	874	11.870	1.137	   			7.395	18177	8.252	1.078	4.021	1.168	0	0	0.000	0.000
14	11.581	11.413	11.787	1828	171	10.675	0.200	   			7.755	23828	6.295	1.030	1.514	1.049	0	0	0.000	0.000
15	13.957	13.813	14.080	1477	143	10.308	0.162	   			9.552	24484	6.127	0.000	7.237	1.232	0	0	0.000	0.000
16	14.220	14.080	14.453	3259	301	10.833	0.357	 V 			9.751	33272	4.508	0.000	0.786	1.021	0	0	0.000	0.000
17	15.322	15.179	15.605	2142	186	11.517	0.235	   			10.584	37414	4.009	1.377	3.505	1.085	0	0	0.000	0.000
18	16.381	16.139	16.565	9066	868	10.439	0.994	   			11.385	51192	2.930	0.000	3.492	1.076	0	0	0.000	0.000
19	16.760	16.565	17.003	6044	494	12.230	0.663	 V 			11.671	37223	4.030	0.000	1.190	1.025	0	0	0.000	0.000
20	17.386	17.237	17.675	1571	120	13.119	0.172	   			12.145	37285	4.023	1.419	1.770	1.041	0	0	0.000	0.000
21	18.626	18.464	18.848	2532	269	9.404	0.277	   			13.082	73418	2.043	1.009	3.903	1.077	0	0	0.000	0.000
22	19.040	18.848	19.200	2000	208	9.593	0.219	   			13.395	74774	2.006	0.939	1.496	1.024	0	0	0.000	0.000
23	19.366	19.200	19.509	2599	251	10.342	0.285	   			13.641	69116	2.170	0.000	1.137	1.018	0	0	0.000	0.000
24	20.157	19.936	20.437	6550	546	12.000	0.718	   			14.240	59383	2.526	1.103	2.530	1.044	0	0	0.000	0.000
25	20.925	20.757	21.099	1542	157	9.796	0.169	   			14.820	90438	1.659	0.915	2.520	1.041	0	0	0.000	0.000
26	21.999	21.728	22.261	29392	2952	9.957	3.222	   			15.633	101728	1.475	0.972	3.879	1.055	0	0	0.000	0.000
27	29.502	29.344	29.728	2494	265	9.396	0.273	   			21.305	198682	0.755	1.104	27.755	1.363	0	0	0.000	0.000
28	44.823	44.501	44.960	8913	519	17.164	0.977	   			32.888	168677	0.889	0.718	43.693	1.544	0	0	0.000	0.000

