[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\2090813\‰–”Z“x•Ê003.lcd
Output Date	2019/08/18
Output Time	21:47:37

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	35
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.872	1.525	2.005	13942	1010	13.801	1.125	   			0.000	510	294.066	0.000	0.000	0.000	0	0	0.000	0.000
2	2.155	2.005	2.251	23346	4006	5.827	1.884	 V 			0.151	3022	49.634	0.000	1.160	0.000	0	0	0.000	0.000
3	2.308	2.251	2.368	10407	2406	4.325	0.840	   			0.233	5362	27.973	0.000	1.080	1.539	0	0	0.000	0.000
4	2.423	2.368	2.549	5808	907	6.405	0.469	 V 			0.294	1236	121.378	0.000	0.574	1.264	0	0	0.000	0.000
5	5.182	4.960	5.280	3492	311	11.238	0.282	   			1.768	1944	77.170	0.000	7.396	6.004	0	0	0.000	0.000
6	5.411	5.280	5.781	6467	346	18.703	0.522	 V 			1.890	1260	119.052	0.000	0.424	1.069	0	0	0.000	0.000
7	5.998	5.781	6.229	7864	431	18.232	0.635	 V 			2.204	1321	113.592	0.000	0.926	1.166	0	0	0.000	0.000
8	6.428	6.229	6.635	21340	1152	18.525	1.722	 V 			2.434	1523	98.493	0.000	0.652	1.104	0	0	0.000	0.000
9	6.826	6.635	7.243	98518	6199	15.892	7.950	 V 			2.646	3998	37.516	0.000	0.729	1.087	0	0	0.000	0.000
10	7.571	7.243	8.629	735144	47672	15.421	59.326	 V 			3.044	5647	26.562	1.589	1.783	1.150	0	0	0.000	0.000
11	9.277	9.035	9.547	116462	8752	13.307	9.398	   			3.955	10312	14.547	0.000	4.441	1.299	0	0	0.000	0.000
12	9.702	9.547	10.187	43313	3246	13.343	3.495	 V 			4.182	10900	13.761	0.000	1.155	1.057	0	0	0.000	0.000
13	11.107	10.773	11.445	43188	3120	13.844	3.485	   			4.932	14643	10.244	1.097	3.802	1.179	0	0	0.000	0.000
14	11.583	11.445	11.840	2357	206	11.452	0.190	 V 			5.187	20213	7.421	0.000	1.375	1.052	0	0	0.000	0.000
15	12.686	12.491	12.907	2989	266	11.255	0.241	   			5.776	25640	5.850	1.056	3.430	1.114	0	0	0.000	0.000
16	13.187	13.035	13.429	1236	111	11.186	0.100	   			6.044	26953	5.565	1.170	1.571	1.046	0	0	0.000	0.000
17	13.621	13.472	13.835	1746	111	15.735	0.141	   			6.276	15606	9.612	0.000	1.146	1.038	0	0	0.000	0.000
18	13.932	13.835	14.069	2062	177	11.620	0.166	 V 			6.441	14105	10.634	0.000	0.686	1.026	0	0	0.000	0.000
19	14.221	14.069	14.475	4368	393	11.128	0.352	 V 			6.596	31415	4.775	0.000	0.731	1.024	0	0	0.000	0.000
20	15.330	15.157	15.584	3683	336	10.969	0.297	   			7.188	40779	3.678	1.147	3.551	1.090	0	0	0.000	0.000
21	16.383	16.149	16.565	12003	1134	10.583	0.969	   			7.751	50332	2.980	0.000	3.536	1.078	0	0	0.000	0.000
22	16.748	16.565	17.088	5735	430	13.330	0.463	 V 			7.946	31569	4.752	0.000	1.092	1.025	0	0	0.000	0.000
23	17.418	17.173	17.685	3714	272	13.631	0.300	   			8.303	32389	4.631	1.066	1.753	1.045	0	0	0.000	0.000
24	18.368	18.272	18.496	1145	89	12.806	0.092	   			8.811	0	0.000	0.000	0.000	1.061	0	0	0.000	0.000
25	18.638	18.496	18.827	4300	385	11.177	0.347	 V 			8.955	49069	3.057	0.000	0.000	1.016	0	0	0.000	0.000
26	19.042	18.869	19.200	1887	197	9.571	0.152	   			9.171	80672	1.859	0.996	1.336	1.024	0	0	0.000	0.000
27	19.363	19.200	19.520	2834	271	10.458	0.229	   			9.342	68910	2.177	0.000	1.141	1.019	0	0	0.000	0.000
28	19.605	19.520	19.883	1064	111	9.622	0.086	 V 			9.472	41219	3.639	0.000	0.711	1.014	0	0	0.000	0.000
29	20.197	19.989	20.469	3329	267	12.478	0.269	   			9.788	53589	2.799	1.051	1.609	1.033	0	0	0.000	0.000
30	20.917	20.725	21.077	1962	215	9.124	0.158	   			10.172	103711	1.446	0.940	2.365	1.039	0	0	0.000	0.000
31	22.003	21.739	22.229	34096	3424	9.958	2.751	   			10.752	100177	1.497	0.983	4.038	1.057	0	0	0.000	0.000
32	24.821	24.683	25.077	1485	114	12.975	0.120	   			12.257	71389	2.101	1.341	8.676	1.140	0	0	0.000	0.000
33	29.498	29.259	29.760	7655	781	9.807	0.618	   			14.755	188425	0.796	0.942	14.538	1.204	0	0	0.000	0.000
34	37.067	36.928	37.280	1719	182	9.454	0.139	   			18.799	323955	0.463	1.145	28.441	1.274	0	0	0.000	0.000
35	44.865	44.480	44.971	8513	409	20.834	0.687	   			22.964	166364	0.902	0.638	22.264	1.222	0	0	0.000	0.000

