[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\2090813\‰–”Z“x•Ê006.lcd
Output Date	2019/08/18
Output Time	21:47:37

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	26
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.919	1.568	2.016	13850	1091	12.699	1.672	   			0.000	512	293.199	0.000	0.000	0.000	0	0	0.000	0.000
2	2.152	2.016	2.240	23360	4102	5.694	2.820	 V 			0.122	2983	50.281	0.000	0.940	0.000	0	0	0.000	0.000
3	2.305	2.240	2.368	11594	2524	4.593	1.399	   			0.201	4073	36.825	0.000	1.008	1.652	0	0	0.000	0.000
4	2.419	2.368	2.539	10484	1275	8.224	1.266	 V 			0.261	658	227.882	0.000	0.438	1.296	0	0	0.000	0.000
5	2.667	2.539	2.955	10061	585	17.212	1.214	 V 			0.390	0	0.000	0.000	0.000	1.495	0	0	0.000	0.000
6	5.963	5.867	6.240	1888	96	19.681	0.228	   			2.108	627	239.207	0.000	0.000	5.406	0	0	0.000	0.000
7	6.411	6.240	6.624	10671	683	15.623	1.288	 V 			2.342	2378	63.069	0.000	0.607	1.111	0	0	0.000	0.000
8	6.820	6.624	7.264	60352	3949	15.282	7.285	 V 			2.555	4439	33.793	0.000	0.875	1.091	0	0	0.000	0.000
9	7.568	7.264	8.587	534384	36000	14.844	64.504	 V 			2.945	5940	25.254	1.515	1.864	1.153	0	0	0.000	0.000
10	9.275	9.045	9.536	39387	3014	13.068	4.754	   			3.834	10674	14.053	0.000	4.539	1.302	0	0	0.000	0.000
11	9.693	9.536	10.133	13212	998	13.234	1.595	 V 			4.052	11226	13.361	0.000	1.154	1.057	0	0	0.000	0.000
12	11.098	10.869	11.413	11393	965	11.804	1.375	   			4.784	18975	7.905	1.165	4.083	1.181	0	0	0.000	0.000
13	11.564	11.413	11.765	1553	149	10.411	0.187	   			5.027	23850	6.289	1.194	1.498	1.051	0	0	0.000	0.000
14	13.966	13.792	14.080	1996	186	10.720	0.241	   			6.279	20403	7.352	0.000	6.956	1.249	0	0	0.000	0.000
15	14.215	14.080	14.464	4152	379	10.958	0.501	 V 			6.409	32088	4.675	0.000	0.704	1.021	0	0	0.000	0.000
16	15.341	15.168	15.595	1886	171	11.004	0.228	   			6.996	39930	3.757	1.109	3.603	1.092	0	0	0.000	0.000
17	16.387	16.171	16.576	10064	960	10.486	1.215	   			7.541	51773	2.897	0.000	3.514	1.078	0	0	0.000	0.000
18	16.777	16.576	17.109	7270	605	12.019	0.878	 V 			7.744	39637	3.784	0.000	1.248	1.027	0	0	0.000	0.000
19	18.640	18.485	18.859	3943	352	11.194	0.476	 V 			8.715	50910	2.946	0.000	5.583	1.125	0	0	0.000	0.000
20	19.039	18.880	19.200	1566	168	9.314	0.189	   			8.923	81591	1.838	0.927	1.337	1.024	0	0	0.000	0.000
21	19.364	19.200	19.563	3159	281	11.251	0.381	   			9.093	64001	2.344	0.000	1.133	1.019	0	0	0.000	0.000
22	20.159	19.947	20.469	5979	488	12.240	0.722	   			9.507	56958	2.634	1.136	2.469	1.046	0	0	0.000	0.000
23	20.926	20.757	21.109	1547	168	9.208	0.187	   			9.907	97735	1.535	0.951	2.535	1.042	0	0	0.000	0.000
24	22.006	21.728	22.272	33247	3341	9.950	4.013	   			10.470	101897	1.472	0.973	3.972	1.057	0	0	0.000	0.000
25	29.501	29.323	29.717	2619	281	9.317	0.316	   			14.376	207802	0.722	1.161	28.041	1.373	0	0	0.000	0.000
26	44.810	44.480	44.960	8836	531	16.649	1.067	   			22.356	169382	0.886	0.741	44.094	1.555	0	0	0.000	0.000

