[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\2090813\‰–”Z“x•Ê002.lcd
Output Date	2019/08/18
Output Time	21:47:37

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	34
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.876	1.600	1.984	10674	940	11.355	0.978	   			0.000	549	273.178	0.000	0.000	0.000	0	0	0.000	0.000
2	2.154	1.984	2.240	24058	4032	5.967	2.205	 V 			0.148	2971	50.487	0.000	1.160	0.000	0	0	0.000	0.000
3	2.305	2.240	2.368	10723	2449	4.379	0.983	   			0.229	4511	33.251	0.000	1.029	1.548	0	0	0.000	0.000
4	2.420	2.368	2.571	6234	946	6.591	0.571	 V 			0.290	1316	114.005	0.000	0.567	1.267	0	0	0.000	0.000
5	5.162	4.971	5.259	2447	238	10.267	0.224	   			1.752	2291	65.477	0.000	7.854	6.041	0	0	0.000	0.000
6	5.410	5.259	5.728	5190	273	18.986	0.476	 V 			1.884	841	178.336	0.000	0.421	1.075	0	0	0.000	0.000
7	5.993	5.728	6.219	6196	322	19.213	0.568	 V 			2.195	1188	126.232	0.000	0.809	1.165	0	0	0.000	0.000
8	6.412	6.219	6.635	17372	946	18.362	1.592	 V 			2.418	1664	90.154	0.000	0.633	1.102	0	0	0.000	0.000
9	6.816	6.635	7.253	78357	4936	15.874	7.180	 V 			2.633	4037	37.158	0.000	0.764	1.089	0	0	0.000	0.000
10	7.558	7.253	8.683	635633	41337	15.377	58.248	 V 			3.029	5660	26.500	1.566	1.786	1.150	0	0	0.000	0.000
11	9.264	9.024	9.536	105251	7987	13.178	9.645	   			3.938	10466	14.332	0.000	4.465	1.300	0	0	0.000	0.000
12	9.690	9.536	10.123	30086	2261	13.307	2.757	 V 			4.165	10885	13.781	0.000	1.161	1.058	0	0	0.000	0.000
13	11.095	10.784	11.424	38203	2892	13.212	3.501	   			4.914	15942	9.409	1.119	3.885	1.180	0	0	0.000	0.000
14	11.553	11.424	11.851	2037	176	11.557	0.187	 V 			5.158	19805	7.574	0.000	1.349	1.050	0	0	0.000	0.000
15	12.669	12.491	12.917	2069	184	11.231	0.190	   			5.753	26021	5.765	1.188	3.473	1.115	0	0	0.000	0.000
16	13.174	13.003	13.440	1454	123	11.812	0.133	   			6.022	26094	5.748	1.328	1.577	1.047	0	0	0.000	0.000
17	13.621	13.483	13.803	1341	85	15.765	0.123	   			6.261	4488	33.425	0.000	0.785	1.040	0	0	0.000	0.000
18	13.945	13.803	14.059	2405	203	11.860	0.220	 V 			6.433	12072	12.425	0.000	0.490	1.028	0	0	0.000	0.000
19	14.207	14.059	14.475	6036	527	11.452	0.553	 V 			6.573	30831	4.865	0.000	0.631	1.022	0	0	0.000	0.000
20	15.334	15.168	15.616	2994	267	11.221	0.274	   			7.174	35274	4.252	1.225	3.467	1.091	0	0	0.000	0.000
21	16.375	16.139	16.555	13680	1301	10.515	1.254	   			7.728	50565	2.966	0.000	3.369	1.077	0	0	0.000	0.000
22	16.745	16.555	16.992	5906	467	12.641	0.541	 V 			7.926	31753	4.724	0.000	1.110	1.026	0	0	0.000	0.000
23	17.405	17.184	17.707	3361	238	14.137	0.308	   			8.278	30224	4.963	1.160	1.701	1.044	0	0	0.000	0.000
24	18.628	18.464	18.869	5116	451	11.350	0.469	 V 			8.929	49275	3.044	0.000	3.321	1.079	0	0	0.000	0.000
25	19.035	18.869	19.211	1586	172	9.217	0.145	   			9.146	78503	1.911	0.934	1.341	1.024	0	0	0.000	0.000
26	19.356	19.211	19.531	3345	313	10.683	0.307	   			9.317	69737	2.151	0.000	1.136	1.019	0	0	0.000	0.000
27	20.169	19.957	20.501	3173	233	13.624	0.291	   			9.751	52318	2.867	1.215	2.519	1.047	0	0	0.000	0.000
28	20.915	20.725	21.077	1941	211	9.203	0.178	   			10.148	99604	1.506	0.947	2.414	1.041	0	0	0.000	0.000
29	21.993	21.707	22.293	44112	4171	10.577	4.042	   			10.723	96260	1.558	1.053	3.931	1.057	0	0	0.000	0.000
30	22.453	22.293	22.656	2486	169	14.689	0.228	 V 			10.968	8067	18.594	0.000	0.717	1.023	0	0	0.000	0.000
31	22.988	22.859	23.371	1684	99	17.004	0.154	   			11.253	44995	3.334	2.042	0.746	1.026	0	0	0.000	0.000
32	29.488	29.269	29.749	6883	704	9.781	0.631	   			14.718	187976	0.798	1.000	18.426	1.308	0	0	0.000	0.000
33	37.084	36.907	37.291	1549	161	9.627	0.142	   			18.767	312774	0.480	0.999	28.276	1.275	0	0	0.000	0.000
34	44.887	44.501	44.960	7665	284	27.029	0.702	   			22.926	170809	0.878	0.595	22.305	1.222	0	0	0.000	0.000

