[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\2090813\‰–”Z“x•Ê001.lcd
Output Date	2019/08/18
Output Time	21:47:37

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	38
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.280	0.032	1.568	72967	1071	68.127	5.278	   			0.000	0	1094941969.494	0.000	0.000	0.000	0	0	0.000	0.000
2	1.869	1.568	1.973	28726	1400	20.513	2.078	 V 			0.460	12	12797.712	0.000	0.003	0.000	0	0	0.000	0.000
3	2.154	1.973	2.240	28146	4163	6.761	2.036	 V 			0.683	2708	55.388	0.000	0.243	1.485	0	0	0.000	0.000
4	2.307	2.240	2.368	10716	2453	4.369	0.775	   			0.802	4511	33.255	0.000	1.009	1.175	0	0	0.000	0.000
5	2.424	2.368	2.560	6169	932	6.616	0.446	 V 			0.893	1178	127.384	0.000	0.556	1.114	0	0	0.000	0.000
6	5.152	4.971	5.301	3626	289	12.534	0.262	   			3.025	1434	104.620	0.000	6.601	3.386	0	0	0.000	0.000
7	5.410	5.301	5.781	5775	334	17.302	0.418	 V 			3.226	1085	138.277	0.000	0.429	1.067	0	0	0.000	0.000
8	6.003	5.781	6.219	7484	418	17.885	0.541	 V 			3.690	1491	100.603	0.000	0.929	1.144	0	0	0.000	0.000
9	6.405	6.219	6.635	20858	1105	18.881	1.509	 V 			4.004	1538	97.554	0.000	0.630	1.085	0	0	0.000	0.000
10	6.822	6.635	7.243	95891	5962	16.084	6.936	 V 			4.330	3961	37.870	0.000	0.767	1.081	0	0	0.000	0.000
11	7.564	7.243	8.565	751321	48743	15.414	54.342	 V 			4.910	5631	26.639	1.577	1.773	1.134	0	0	0.000	0.000
12	9.268	9.024	9.536	131207	9917	13.230	9.490	   			6.241	10359	14.480	0.000	4.440	1.271	0	0	0.000	0.000
13	9.696	9.536	10.187	45440	3413	13.314	3.287	 V 			6.575	10910	13.749	0.000	1.164	1.054	0	0	0.000	0.000
14	11.098	10.773	11.435	50471	3647	13.841	3.650	   			7.670	14655	10.235	1.116	3.800	1.167	0	0	0.000	0.000
15	11.563	11.435	11.861	2685	229	11.732	0.194	 V 			8.033	18892	7.940	0.000	1.322	1.047	0	0	0.000	0.000
16	12.673	12.491	12.907	3463	315	10.985	0.250	   			8.901	25921	5.787	1.130	3.410	1.108	0	0	0.000	0.000
17	13.184	13.035	13.440	1355	118	11.460	0.098	   			9.300	24946	6.013	1.220	1.573	1.045	0	0	0.000	0.000
18	13.653	13.504	13.771	1305	127	10.238	0.094	   			9.667	26878	5.581	0.000	1.408	1.039	0	0	0.000	0.000
19	13.941	13.771	14.059	2061	160	12.846	0.149	 V 			9.891	15477	9.691	0.000	0.735	1.023	0	0	0.000	0.000
20	14.205	14.059	14.464	4076	358	11.370	0.295	 V 			10.098	31884	4.705	0.000	0.691	1.021	0	0	0.000	0.000
21	15.323	15.136	15.616	4305	392	10.967	0.311	   			10.971	38470	3.899	1.126	3.543	1.086	0	0	0.000	0.000
22	16.375	16.139	16.565	12314	1158	10.636	0.891	   			11.793	50575	2.966	0.000	3.486	1.075	0	0	0.000	0.000
23	16.727	16.565	16.981	5245	411	12.773	0.379	 V 			12.068	32670	4.591	0.000	1.065	1.023	0	0	0.000	0.000
24	17.398	17.184	17.664	3984	283	14.069	0.288	   			12.592	31121	4.820	1.119	1.755	1.043	0	0	0.000	0.000
25	18.628	18.475	18.859	4748	416	11.414	0.343	 V 			13.553	51052	2.938	0.000	3.398	1.076	0	0	0.000	0.000
26	19.042	18.859	19.189	2292	243	9.444	0.166	   			13.876	72250	2.076	0.931	1.349	1.024	0	0	0.000	0.000
27	19.356	19.200	19.520	2795	260	10.757	0.202	   			14.121	68237	2.198	0.000	1.082	1.018	0	0	0.000	0.000
28	20.195	19.968	20.480	3267	253	12.895	0.236	   			14.777	53521	2.803	1.071	2.599	1.046	0	0	0.000	0.000
29	20.911	20.715	21.067	2212	235	9.421	0.160	   			15.336	105497	1.422	0.979	2.360	1.038	0	0	0.000	0.000
30	21.995	21.739	22.304	38380	3619	10.605	2.776	   			16.183	96758	1.550	1.119	4.012	1.055	0	0	0.000	0.000
31	22.453	22.304	22.688	1828	122	14.992	0.132	 V 			16.542	14191	10.570	0.000	0.885	1.022	0	0	0.000	0.000
32	24.839	24.640	25.088	2190	170	12.847	0.158	   			18.405	70409	2.130	1.225	4.228	1.113	0	0	0.000	0.000
33	25.495	25.333	25.749	1788	156	11.461	0.129	   			18.918	86501	1.734	1.219	1.819	1.028	0	0	0.000	0.000
34	28.257	28.107	28.501	1631	159	10.293	0.118	   			21.076	155209	0.966	1.225	8.720	1.114	0	0	0.000	0.000
35	29.491	29.259	29.685	9986	1040	9.599	0.722	   			22.040	196028	0.765	0.957	4.459	1.046	0	0	0.000	0.000
36	29.992	29.867	30.155	1142	129	8.875	0.083	   			22.431	201109	0.746	1.144	1.877	1.018	0	0	0.000	0.000
37	37.076	36.896	37.269	2900	304	9.537	0.210	   			27.965	289001	0.519	0.954	26.072	1.247	0	0	0.000	0.000
38	44.810	44.480	44.960	7837	405	19.364	0.567	   			34.008	134490	1.115	0.736	20.230	1.216	0	0	0.000	0.000

