[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d007.lcd
Output Date	2019/08/29
Output Time	16:32:59

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	15
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.429	0.032	1.621	79637	1165	68.364	0.000	   			0.000	0	26216638.129	0.000	0.000	0.000	0	0	0.000	0.000
2	1.898	1.621	2.091	37548	2200	17.064	0.000	 V 			0.328	808	185.693	0.000	0.012	0.000	0	0	0.000	0.000
3	2.159	2.091	2.261	22311	4260	5.238	0.000	 V 			0.511	2664	56.310	0.000	1.202	1.557	0	0	0.000	0.000
4	2.322	2.261	2.379	10062	2364	4.256	0.000	   			0.624	5555	27.003	0.000	1.114	1.223	0	0	0.000	0.000
5	7.084	6.880	7.328	11674	626	18.655	0.000	 V 			3.956	2024	74.098	0.000	12.625	6.337	0	0	0.000	0.000
6	7.534	7.328	7.936	55283	3518	15.714	0.000	 V 			4.271	4987	30.078	0.000	0.852	1.080	0	0	0.000	0.000
7	8.335	7.936	9.824	389532	23370	16.668	0.000	SV 			4.831	6670	22.488	2.147	1.919	1.131	0	0	0.000	0.000
8	10.117	9.824	10.411	129668	9781	13.257	0.000	   			6.078	12682	11.828	0.000	4.642	1.258	0	0	0.000	0.000
9	10.569	10.411	11.019	24836	1841	13.487	0.000	 V 			6.395	12223	12.272	0.000	1.221	1.052	0	0	0.000	0.000
10	12.002	11.691	12.501	31710	1925	16.471	0.000	   			7.397	11644	12.883	1.191	3.463	1.157	0	0	0.000	0.000
11	15.242	14.965	15.595	27211	2292	11.873	0.000	   			9.664	35239	4.257	1.096	8.420	1.306	0	0	0.000	0.000
12	19.074	18.795	19.328	12440	951	13.085	0.000	 V 			12.345	47680	3.146	0.853	11.368	1.277	0	0	0.000	0.000
13	20.139	19.776	20.373	39272	3318	11.837	0.000	   			13.090	69420	2.161	0.000	3.251	1.060	0	0	0.000	0.000
14	21.232	20.949	21.685	27664	2216	12.482	0.000	   			13.854	73163	2.050	1.332	3.526	1.058	0	0	0.000	0.000
15	44.809	44.469	45.013	10855	575	18.879	0.000	   			30.350	139464	1.076	0.822	59.394	2.191	0	0	0.000	0.000

