[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d001.lcd
Output Date	2019/08/29
Output Time	16:32:58

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	13
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.815	0.021	2.080	143757	2975	48.320	0.000	   			0.000	133	1124.725	0.000	0.000	0.000	0	0	0.000	0.000
2	2.151	2.080	2.251	22360	4232	5.284	0.000	 V 			0.185	2716	55.221	0.000	0.848	0.000	0	0	0.000	0.000
3	2.313	2.251	2.368	10357	2438	4.248	0.000	   			0.275	5361	27.980	0.000	1.111	1.481	0	0	0.000	0.000
4	7.054	6.869	7.296	12308	680	18.113	0.000	 V 			2.887	2299	65.247	0.000	13.264	10.515	0	0	0.000	0.000
5	7.508	7.296	7.893	62459	3933	15.879	0.000	 V 			3.137	4855	30.898	0.000	0.891	1.087	0	0	0.000	0.000
6	8.304	7.893	9.803	448198	26672	16.804	0.000	SV 			3.575	6619	22.663	2.138	1.895	1.140	0	0	0.000	0.000
7	10.086	9.803	10.389	146166	11036	13.244	0.000	   			4.558	12552	11.950	1.324	4.640	1.275	0	0	0.000	0.000
8	10.553	10.389	10.965	26923	1997	13.483	0.000	 V 			4.815	12529	11.973	0.000	1.265	1.056	0	0	0.000	0.000
9	11.970	11.669	12.459	34715	2217	15.659	0.000	   			5.596	13846	10.834	1.291	3.616	1.162	0	0	0.000	0.000
10	15.227	14.976	15.573	29308	2458	11.922	0.000	   			7.390	34866	4.302	1.122	8.885	1.321	0	0	0.000	0.000
11	19.078	18.795	19.456	21162	1488	14.220	0.000	 V 			9.512	45432	3.302	0.000	11.255	1.287	0	0	0.000	0.000
12	20.133	19.733	20.587	58368	4504	12.959	0.000	S  			10.093	67093	2.236	1.085	3.154	1.061	0	0	0.000	0.000
13	21.226	20.928	21.685	42120	3434	12.264	0.000	   			10.696	74136	2.023	1.354	3.513	1.060	0	0	0.000	0.000

