[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d002.lcd
Output Date	2019/08/29
Output Time	16:32:58

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	14
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.893	0.032	2.091	115996	2167	53.526	0.000	   			0.000	29	5232.452	0.000	0.000	0.000	0	0	0.000	0.000
2	2.155	2.091	2.251	21408	4190	5.110	0.000	 V 			0.138	2920	51.366	0.000	0.332	0.000	0	0	0.000	0.000
3	7.072	6.901	7.307	11715	646	18.136	0.000	 V 			2.735	2180	68.805	0.000	12.851	19.830	0	0	0.000	0.000
4	7.516	7.307	7.893	57446	3641	15.777	0.000	 V 			2.970	4940	30.367	0.000	0.859	1.086	0	0	0.000	0.000
5	8.312	8.043	8.693	369097	24192	15.257	0.000	 V 			3.390	6670	22.490	0.000	1.906	1.142	0	0	0.000	0.000
6	8.792	8.693	9.131	33732	1950	17.300	0.000	 V 			3.644	557	269.114	0.000	0.506	1.075	0	0	0.000	0.000
7	9.237	9.131	9.792	12908	527	24.498	0.000	 V 			3.879	827	181.406	0.000	0.321	1.064	0	0	0.000	0.000
8	10.086	9.792	10.389	136280	10158	13.416	0.000	 V 			4.327	12374	12.122	0.000	1.031	1.116	0	0	0.000	0.000
9	10.553	10.389	10.933	25211	1846	13.657	0.000	 V 			4.573	12209	12.286	0.000	1.252	1.057	0	0	0.000	0.000
10	11.966	11.648	12.459	33408	2137	15.633	0.000	   			5.320	13901	10.790	1.261	3.588	1.163	0	0	0.000	0.000
11	15.220	14.987	15.552	21050	1758	11.975	0.000	   			7.038	34559	4.340	1.104	8.872	1.323	0	0	0.000	0.000
12	19.066	18.773	19.445	17986	1240	14.509	0.000	SV 			9.070	41811	3.588	0.000	10.982	1.289	0	0	0.000	0.000
13	20.129	19.733	20.363	47829	3777	12.665	0.000	   			9.631	67378	2.226	0.000	3.112	1.062	0	0	0.000	0.000
14	21.223	20.928	21.675	35086	2776	12.639	0.000	   			10.209	72439	2.071	1.351	3.499	1.060	0	0	0.000	0.000

