[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d003.lcd
Output Date	2019/08/29
Output Time	16:32:58

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	14
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.916	0.021	2.080	118119	2285	51.682	0.000	   			0.000	39	3828.345	0.000	0.000	0.000	0	0	0.000	0.000
2	2.148	2.080	2.251	22040	4178	5.275	0.000	 V 			0.121	2581	58.115	0.000	0.333	0.000	0	0	0.000	0.000
3	2.310	2.251	2.368	10357	2409	4.298	0.000	   			0.205	5382	27.871	0.000	1.095	1.697	0	0	0.000	0.000
4	7.062	6.869	7.307	10730	609	17.613	0.000	 V 			2.685	2391	62.735	0.000	13.507	13.075	0	0	0.000	0.000
5	7.514	7.307	7.915	51908	3310	15.682	0.000	 V 			2.921	5012	29.928	0.000	0.901	1.088	0	0	0.000	0.000
6	8.311	7.915	8.683	348365	22856	15.242	0.000	 V 			3.337	6675	22.473	0.000	1.917	1.142	0	0	0.000	0.000
7	8.795	8.683	9.120	32946	1965	16.769	0.000	 V 			3.589	1001	149.880	0.000	0.637	1.076	0	0	0.000	0.000
8	10.086	9.749	10.400	161798	12157	13.310	0.000	 V 			4.263	12568	11.935	1.349	1.754	1.188	0	0	0.000	0.000
9	10.545	10.400	10.944	19461	1443	13.484	0.000	 V 			4.502	11226	13.361	0.000	1.212	1.056	0	0	0.000	0.000
10	11.964	11.648	12.437	39919	2774	14.389	0.000	   			5.243	16585	9.044	1.236	3.687	1.164	0	0	0.000	0.000
11	15.212	14.997	15.573	15664	1329	11.786	0.000	   			6.938	35137	4.269	1.116	9.331	1.323	0	0	0.000	0.000
12	19.061	18.773	19.445	17642	1239	14.239	0.000	SV 			8.946	46402	3.233	0.000	11.347	1.290	0	0	0.000	0.000
13	20.120	19.947	20.352	37476	3337	11.231	0.000	 V 			9.499	69435	2.160	0.000	3.211	1.062	0	0	0.000	0.000
14	21.213	20.917	21.664	24439	1944	12.572	0.000	   			10.069	73220	2.049	1.397	3.533	1.060	0	0	0.000	0.000

