[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d005.lcd
Output Date	2019/08/29
Output Time	16:32:59

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	15
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.333	0.021	1.557	75341	1135	66.402	0.000	   			0.000	1	261922.127	0.000	0.000	0.000	0	0	0.000	0.000
2	1.904	1.557	2.080	43122	2545	16.944	0.000	 V 			0.428	1283	116.927	0.000	0.157	0.000	0	0	0.000	0.000
3	2.148	2.080	2.251	21997	4251	5.175	0.000	 V 			0.611	2741	54.732	0.000	1.291	1.426	0	0	0.000	0.000
4	2.309	2.251	2.368	10150	2343	4.332	0.000	   			0.732	5387	27.842	0.000	1.115	1.198	0	0	0.000	0.000
5	7.054	6.859	7.285	13174	769	17.136	0.000	 V 			4.290	2426	61.831	0.000	13.581	5.861	0	0	0.000	0.000
6	7.500	7.285	7.915	65749	4156	15.819	0.000	 V 			4.625	4899	30.621	0.000	0.891	1.078	0	0	0.000	0.000
7	8.298	7.915	9.813	503717	30298	16.626	0.000	SV 			5.223	6612	22.685	2.110	1.906	1.129	0	0	0.000	0.000
8	10.081	9.813	10.389	176922	13367	13.236	0.000	   			6.561	12603	11.902	1.313	4.648	1.256	0	0	0.000	0.000
9	10.536	10.389	10.944	22782	1694	13.449	0.000	 V 			6.902	11492	13.052	0.000	1.210	1.052	0	0	0.000	0.000
10	11.971	11.648	12.469	36266	2387	15.191	0.000	   			7.978	14395	10.420	1.216	3.621	1.156	0	0	0.000	0.000
11	15.224	14.955	15.616	36123	3019	11.966	0.000	   			10.418	35056	4.279	1.122	8.984	1.306	0	0	0.000	0.000
12	17.396	17.216	17.664	11567	972	11.894	0.000	 V 			12.047	44667	3.358	0.000	6.635	1.156	0	0	0.000	0.000
13	19.077	18.784	19.435	15701	1201	13.073	0.000	   			13.307	50557	2.967	0.998	5.028	1.105	0	0	0.000	0.000
14	20.135	19.755	20.373	48208	4097	11.766	0.000	   			14.101	70410	2.130	0.000	3.291	1.060	0	0	0.000	0.000
15	21.229	20.960	21.675	28338	2344	12.092	0.000	   			14.922	74388	2.016	1.322	3.562	1.058	0	0	0.000	0.000

