[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d006.lcd
Output Date	2019/08/29
Output Time	16:32:59

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	15
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.885	0.032	2.080	112716	2256	49.959	0.000	   			0.000	919	163.172	0.000	0.000	0.000	0	0	0.000	0.000
2	2.154	2.080	2.251	22229	4268	5.209	0.000	 V 			0.143	2837	52.881	0.000	1.311	0.000	0	0	0.000	0.000
3	7.061	6.901	7.307	14087	775	18.166	0.000	 V 			2.746	1908	78.613	0.000	12.141	19.241	0	0	0.000	0.000
4	7.509	7.307	7.915	61175	3799	16.104	0.000	 V 			2.984	4724	31.751	0.000	0.827	1.087	0	0	0.000	0.000
5	8.311	7.915	8.693	393399	25552	15.396	0.000	 V 			3.409	6581	22.794	0.000	1.892	1.142	0	0	0.000	0.000
6	8.791	8.693	9.141	35053	2056	17.049	0.000	 V 			3.664	597	251.257	0.000	0.520	1.075	0	0	0.000	0.000
7	9.258	9.141	9.803	11006	547	20.117	0.000	 V 			3.912	1891	79.309	0.000	0.408	1.068	0	0	0.000	0.000
8	10.094	9.824	10.389	159387	12010	13.272	0.000	   			4.355	12557	11.946	0.000	1.380	1.113	0	0	0.000	0.000
9	10.548	10.389	10.987	23782	1730	13.750	0.000	 V 			4.596	11496	13.048	0.000	1.204	1.055	0	0	0.000	0.000
10	11.984	11.680	12.491	36538	2298	15.899	0.000	   			5.358	13084	11.465	1.220	3.534	1.166	0	0	0.000	0.000
11	15.236	14.976	15.627	33659	2807	11.992	0.000	   			7.083	34977	4.289	1.115	8.732	1.322	0	0	0.000	0.000
12	17.411	17.227	17.664	10693	919	11.638	0.000	 V 			8.237	46815	3.204	0.000	6.716	1.163	0	0	0.000	0.000
13	19.086	18.816	19.317	15372	1093	14.063	0.000	 V 			9.126	43421	3.455	0.000	4.865	1.108	0	0	0.000	0.000
14	20.147	19.787	20.363	40627	3496	11.619	0.000	   			9.689	70549	2.126	0.000	3.168	1.062	0	0	0.000	0.000
15	21.241	20.949	21.696	24561	1982	12.389	0.000	   			10.269	73685	2.036	1.343	3.551	1.060	0	0	0.000	0.000

