[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d004.lcd
Output Date	2019/08/29
Output Time	16:32:58

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	17
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.918	0.021	2.080	120144	2500	48.054	0.000	   			0.000	1054	142.337	0.000	0.000	0.000	0	0	0.000	0.000
2	2.151	2.080	2.251	22408	4247	5.276	0.000	 V 			0.121	2713	55.290	0.000	1.156	0.000	0	0	0.000	0.000
3	2.312	2.251	2.368	10254	2411	4.253	0.000	   			0.205	5436	27.594	0.000	1.109	1.694	0	0	0.000	0.000
4	7.071	6.848	7.317	14848	802	18.521	0.000	 V 			2.686	2137	70.176	0.000	12.912	13.102	0	0	0.000	0.000
5	7.515	7.317	7.936	67865	4314	15.733	0.000	 V 			2.918	4909	30.557	0.000	0.854	1.086	0	0	0.000	0.000
6	8.315	7.936	8.683	454368	29790	15.252	0.000	 V 			3.334	6650	22.556	0.000	1.910	1.143	0	0	0.000	0.000
7	8.795	8.683	9.120	43152	2530	17.056	0.000	 V 			3.584	831	180.457	0.000	0.590	1.075	0	0	0.000	0.000
8	9.252	9.120	9.813	12891	584	22.064	0.000	 V 			3.823	630	238.207	0.000	0.339	1.066	0	0	0.000	0.000
9	10.094	9.824	10.400	201407	15130	13.312	0.000	   			4.262	12518	11.982	0.000	0.918	1.115	0	0	0.000	0.000
10	10.553	10.400	10.965	25820	1890	13.659	0.000	 V 			4.501	11391	13.169	0.000	1.211	1.056	0	0	0.000	0.000
11	11.975	11.637	12.491	49519	3406	14.539	0.000	   			5.242	16007	9.371	1.237	3.675	1.165	0	0	0.000	0.000
12	15.229	14.997	15.552	18047	1517	11.896	0.000	   			6.938	35014	4.284	1.098	9.241	1.324	0	0	0.000	0.000
13	17.393	17.227	17.643	10788	828	13.035	0.000	 V 			8.066	37297	4.022	0.000	6.311	1.163	0	0	0.000	0.000
14	18.611	18.229	18.773	13735	957	14.353	0.000	 V 			8.701	46336	3.237	0.000	3.451	1.079	0	0	0.000	0.000
15	19.063	18.773	19.285	26162	1685	15.528	0.000	 V 			8.937	37449	4.005	0.000	1.222	1.027	0	0	0.000	0.000
16	20.122	19.936	20.341	52428	4418	11.867	0.000	 V 			9.489	64256	2.334	0.000	2.975	1.062	0	0	0.000	0.000
17	21.210	20.928	21.653	27294	2142	12.741	0.000	   			10.056	72036	2.082	1.374	3.435	1.060	0	0	0.000	0.000

